run_id,filename,gt_count,notes,raw_pred_count,raw_tp,raw_fp,raw_fn,raw_mean_confidence,raw_inference_ms,q5_pred_count,q5_tp,q5_fp,q5_fn,q5_mean_confidence,q5_inference_ms,q5_size_bytes,q5_encode_ms,q5_decode_ms,original_png_bytes
d4_raw_vs_q5_01,frame_0038.png,5,,5,5,0,0,0.5492,34.8083,4,4,0,1,0.4139,37.9285,18263,1.3189,1.3954,1647016
d4_raw_vs_q5_01,frame_0039.png,0,,0,0,0,0,0.0000,45.7208,0,0,0,0,0.0000,32.7390,17137,1.3455,1.3330,1589831
d4_raw_vs_q5_01,frame_0040.png,0,,0,0,0,0,0.0000,35.7349,0,0,0,0,0.0000,34.2126,17417,1.3377,1.3141,1709984
d4_raw_vs_q5_01,frame_0041.png,0,,0,0,0,0,0.0000,45.9712,0,0,0,0,0.0000,36.9212,19837,1.4198,1.3770,1829178
d4_raw_vs_q5_01,frame_0042.png,0,,0,0,0,0,0.0000,41.6210,0,0,0,0,0.0000,34.8000,19186,1.3709,1.3235,1805144
d4_raw_vs_q5_01,frame_0043.png,0,,0,0,0,0,0.0000,46.4166,0,0,0,0,0.0000,46.5570,18577,1.3842,1.3931,1787097
d4_raw_vs_q5_01,frame_0044.png,0,,0,0,0,0,0.0000,40.3520,0,0,0,0,0.0000,35.1227,18711,1.3507,1.3704,1793513
d4_raw_vs_q5_01,frame_0045.png,0,,0,0,0,0,0.0000,44.5712,0,0,0,0,0.0000,42.0516,18807,1.3813,1.3193,1795229
d4_raw_vs_q5_01,frame_0046.png,0,,0,0,0,0,0.0000,37.0631,0,0,0,0,0.0000,31.1237,18793,1.3749,1.3679,1794106
d4_raw_vs_q5_01,frame_0047.png,0,,0,0,0,0,0.0000,46.9809,0,0,0,0,0.0000,42.3254,18713,1.3890,1.3536,1793118
d4_raw_vs_q5_01,frame_0048.png,0,,0,0,0,0,0.0000,43.9276,0,0,0,0,0.0000,44.7018,18515,1.3627,1.6071,1787720
d4_raw_vs_q5_01,frame_0049.png,0,,0,0,0,0,0.0000,47.4739,0,0,0,0,0.0000,44.9974,17138,1.3127,1.3296,1659553
d4_raw_vs_q5_01,frame_0050.png,0,,0,0,0,0,0.0000,47.7709,0,0,0,0,0.0000,43.6533,20160,1.4167,1.4080,1717913
d4_raw_vs_q5_01,frame_0051.png,0,,0,0,0,0,0.0000,48.2698,0,0,0,0,0.0000,46.0738,17673,1.3689,1.3136,1643832
d4_raw_vs_q5_01,frame_0052.png,0,,0,0,0,0,0.0000,40.8280,0,0,0,0,0.0000,32.9979,17469,1.3509,1.3763,1715125
d4_raw_vs_q5_01,frame_0053.png,0,,0,0,0,0,0.0000,40.3175,0,0,0,0,0.0000,33.5625,17830,1.2981,1.3121,1758334
d4_raw_vs_q5_01,frame_0054.png,0,,0,0,0,0,0.0000,43.6931,0,0,0,0,0.0000,36.1831,17711,1.3341,1.3119,1751227
d4_raw_vs_q5_01,frame_0055.png,0,,0,0,0,0,0.0000,40.8006,0,0,0,0,0.0000,34.2379,17541,1.3261,1.2919,1743072
d4_raw_vs_q5_01,frame_0056.png,0,,0,0,0,0,0.0000,36.8402,0,0,0,0,0.0000,34.0192,17634,1.3630,1.2993,1749561
d4_raw_vs_q5_01,frame_0057.png,0,,0,0,0,0,0.0000,45.6923,0,0,0,0,0.0000,38.0547,17762,1.3337,1.2962,1758114
d4_raw_vs_q5_01,frame_0058.png,0,,0,0,0,0,0.0000,45.8642,0,0,0,0,0.0000,44.2523,17912,1.3311,1.4857,1767161
d4_raw_vs_q5_01,frame_0059.png,0,,0,0,0,0,0.0000,42.5288,0,0,0,0,0.0000,32.0076,18144,1.3449,1.3384,1784002
d4_raw_vs_q5_01,frame_0060.png,0,,0,0,0,0,0.0000,44.1472,0,0,0,0,0.0000,44.0176,18308,1.3472,1.3175,1803402
