Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:41 PM  1002    103365   46.00    0.00    0.00    0.00   46.00    12  16480.00      0.00 9192152  820284   2.53  python3
08:14:41 PM  1002    103511    1.00    2.00    0.00    0.00    3.00     0   1996.00      0.00 2072140  170228   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:42 PM  1002    103365   58.00    1.00    0.00    0.00   59.00    12  12691.00      0.00 9176300  804848   2.48  python3
08:14:42 PM  1002    103511    2.00    3.00    0.00    0.00    5.00     8   1998.00      0.00 2072140  170228   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:43 PM  1002    103365   66.00    4.00    0.00    0.00   70.00    12  16862.00      0.00 9182420  810692   2.50  python3
08:14:43 PM  1002    103511    4.00    1.00    0.00    0.00    5.00     2   1995.00      0.00 2072140  170228   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:44 PM  1002    103365   52.00    1.00    0.00    0.00   53.00    12  15324.00      0.00 9179168  807592   2.49  python3
08:14:44 PM  1002    103511    4.00    1.00    0.00    0.00    5.00     6   1995.00      0.00 2072140  170228   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:45 PM  1002    103365   54.00    6.00    0.00    0.00   60.00    12  16409.00      0.00 9182420  810528   2.50  python3
08:14:45 PM  1002    103511    2.00    2.00    0.00    0.00    4.00    10   1998.00      0.00 2072140  170228   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:46 PM  1002    103365   53.00    4.00    0.00    0.00   57.00    12  15077.00      0.00 9179168  807696   2.49  python3
08:14:46 PM  1002    103511    3.00    1.00    0.00    0.00    4.00     2   1996.00      0.00 2072140  170232   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:47 PM  1002    103365   53.00    3.00    0.00    0.00   56.00    12  16145.00      0.00 9182420  810788   2.50  python3
08:14:47 PM  1002    103511    3.00    2.00    0.00    0.00    5.00    10   1996.00      0.00 2072140  170232   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:48 PM  1002    103365   56.00    0.00    0.00    0.00   56.00    12  14880.00      0.00 9179168  807684   2.49  python3
08:14:48 PM  1002    103511    3.00    1.00    0.00    0.00    4.00     6   1995.00      0.00 2072140  170236   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:49 PM  1002    103365   52.00    3.00    0.00    0.00   55.00    12  15185.00      0.00 9182420  810464   2.50  python3
08:14:49 PM  1002    103511    3.00    1.00    0.00    0.00    4.00     8   1995.00      0.00 2072140  170236   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:50 PM  1002    103365   47.00    1.00    0.00    0.00   48.00    12  15320.00      0.00 9182392  810344   2.50  python3
08:14:50 PM  1002    103511    3.00    1.00    0.00    0.00    4.00     2   1997.00      0.00 2072140  170500   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:51 PM  1002    103365   49.00    2.00    0.00    0.00   51.00    12  14952.00      0.00 9182392  810916   2.50  python3
08:14:51 PM  1002    103511    3.00    1.00    0.00    0.00    4.00     0   1996.00      0.00 2072140  170500   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:52 PM  1002    103365   40.00    8.00    0.00    0.00   48.00     4  13682.00      0.00 9196700  824628   2.54  python3
08:14:52 PM  1002    103511    2.00    1.00    0.00    0.00    3.00     6   1995.00      0.00 2072140  170500   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:53 PM  1002    103365   42.00    2.00    0.00    0.00   44.00     8  11795.00      0.00 9181868  810168   2.49  python3
08:14:53 PM  1002    103511    2.00    2.00    0.00    0.00    4.00     0   1997.00      0.00 2072140  170500   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:54 PM  1002    103365   41.00    8.00    0.00    0.00   49.00     8  13074.00      0.00 9179000  807636   2.49  python3
08:14:54 PM  1002    103511    3.00    2.00    0.00    0.00    5.00     0   1996.00      0.00 2072140  170500   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:55 PM  1002    103365   65.00    5.00    0.00    0.00   70.00    12  16608.00      0.00 9179000  807724   2.49  python3
08:14:55 PM  1002    103511    4.00    0.00    0.00    0.00    4.00     2   1996.00      0.00 2072140  170500   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:56 PM  1002    103365   40.00    6.00    0.00    0.00   46.00    12  15902.00      0.00 9176300  804892   2.48  python3
08:14:56 PM  1002    103511    3.00    3.00    0.00    0.00    6.00     2   1999.00      0.00 2072140  170500   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:57 PM  1002    103365   70.00    6.00    0.00    0.00   76.00    14  15829.00      0.00 9182420  810952   2.50  python3
08:14:57 PM  1002    103511    2.00    3.00    0.00    0.00    5.00    14   1999.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:58 PM  1002    103365   72.00    4.00    0.00    0.00   76.00    14  14695.00      0.00 9179168  807456   2.49  python3
