time_s,role,uav_id
0.002309,primary,3
0.002320,primary,3
0.002327,primary,3
0.002333,primary,3
0.002340,primary,3
0.002349,primary,3
0.002355,primary,3
0.002364,primary,3
0.002372,primary,3
0.002378,primary,3
0.002879,backup,1
0.002888,backup,1
0.002894,backup,2
0.002902,backup,1
0.002908,backup,2
0.002915,backup,2
0.002921,backup,1
0.002928,backup,1
0.002934,backup,2
0.002941,backup,2
0.899261,primary,3
0.899264,backup,1
2.899148,primary,3
2.899151,backup,1
4.899116,primary,3
4.899122,backup,1
6.899464,primary,3
6.899471,backup,1
8.899262,primary,3
8.899268,backup,1
10.899031,primary,3
10.899034,backup,1
12.899022,primary,3
12.899043,backup,2
14.899196,primary,3
14.899199,backup,2
16.899233,primary,3
16.899260,backup,2
18.899275,primary,3
18.899279,backup,2
20.899154,primary,3
20.899159,backup,2
22.899226,primary,3
22.899228,backup,2
24.899168,primary,3
24.899204,backup,2
26.899142,primary,3
26.899146,backup,2
28.899343,primary,3
28.899351,backup,1
30.899146,primary,3
30.899149,backup,1
32.899057,primary,3
32.899064,backup,1
34.899306,primary,3
34.899312,backup,1
36.899136,primary,3
36.899143,backup,1
38.899120,primary,3
38.899127,backup,1
40.899093,primary,3
40.899096,backup,1
42.899040,primary,3
42.899042,backup,1
44.899138,primary,3
44.899145,backup,1
46.899131,primary,3
46.899137,backup,1
48.898996,primary,3
48.899001,backup,1
50.899043,primary,3
50.899045,backup,1
52.899027,primary,3
52.899034,backup,1
54.899124,primary,3
54.899127,backup,1
56.899089,primary,3
56.899091,backup,1
58.899107,primary,3
58.899110,backup,1
60.899132,primary,3
60.899136,backup,1
62.899237,primary,3
62.899243,backup,1
64.899297,primary,3
64.899314,backup,1
66.899260,primary,3
66.899267,backup,1
68.899087,primary,3
68.899146,backup,1
