Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:26 PM  1002    107357  114.00   12.00    0.00    0.00  126.00    12  29642.00      0.00 9192876  822544   2.53  python3
08:30:26 PM  1002    107504    3.00    2.00    0.00    0.00    5.00    17   3990.00      0.00 2069292  167036   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:27 PM  1002    107357  109.90    9.90    0.00    0.00  119.80    12  29097.03      0.00 9192876  822504   2.53  python3
08:30:27 PM  1002    107504    5.94    0.99    0.00    0.00    6.93    12   4619.80      0.00 2072160  169940   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:28 PM  1002    107357  121.00    4.00    0.00    0.00  125.00    14  29388.00      0.00 9192876  822464   2.53  python3
08:30:28 PM  1002    107504    2.00    3.00    0.00    0.00    5.00     0   3990.00      0.00 2072160  169940   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:29 PM  1002    107357   99.00   10.00    0.00    0.00  109.00    14  29389.00      0.00 9192876  822424   2.53  python3
08:30:29 PM  1002    107504    4.00    1.00    0.00    0.00    5.00     0   3315.00      0.00 2069292  167040   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:30 PM  1002    107357  126.00    7.00    0.00    0.00  133.00    12  29388.00      0.00 9192876  822384   2.53  python3
08:30:30 PM  1002    107504    2.00    3.00    0.00    0.00    5.00    12   3990.00      0.00 2069292  167040   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:31 PM  1002    107357   87.00   17.00    0.00    0.00  104.00    12  29388.00      0.00 9192876  822080   2.53  python3
08:30:31 PM  1002    107504    3.00    3.00    0.00    0.00    6.00    10   4666.00      0.00 2072160  169944   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:32 PM  1002    107357  100.00    3.00    0.00    0.00  103.00     6  29389.00      0.00 9192876  822044   2.53  python3
08:30:32 PM  1002    107504    2.00    2.00    0.00    0.00    4.00    12   3314.00      0.00 2069292  167040   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:33 PM  1002    107357  126.00    7.00    0.00    0.00  133.00    19  29388.00      0.00 9192876  822532   2.53  python3
08:30:33 PM  1002    107504    2.00    3.00    0.00    0.00    5.00    19   4666.00      0.00 2072160  169944   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:34 PM  1002    107357   88.00    1.00    0.00    0.00   89.00     0  29388.00      0.00 9192876  822492   2.53  python3
08:30:34 PM  1002    107504    3.00    2.00    0.00    0.00    5.00     6   3314.00      0.00 2069292  167040   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:35 PM  1002    107357  142.00    6.00    0.00    0.00  148.00     4  29388.00      0.00 9192876  822716   2.53  python3
08:30:35 PM  1002    107504    3.00    2.00    0.00    0.00    5.00    20   3991.00      0.00 2069292  167044   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:36 PM  1002    107357  113.00    5.00    0.00    0.00  118.00    10  29388.00      0.00 9192876  822676   2.53  python3
08:30:36 PM  1002    107504    4.00    3.00    0.00    0.00    7.00     0   4666.00      0.00 2072160  169948   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:37 PM  1002    107357   97.00   10.00    0.00    0.00  107.00    10  29389.00      0.00 9192876  822636   2.53  python3
08:30:37 PM  1002    107504    2.00    3.00    0.00    0.00    5.00     0   3990.00      0.00 2072160  169948   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:38 PM  1002    107357  142.00    7.00    0.00    0.00  149.00    10  29388.00      0.00 9192876  822600   2.53  python3
08:30:38 PM  1002    107504    4.00    2.00    0.00    0.00    6.00    21   3314.00      0.00 2069292  167044   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:39 PM  1002    107357  101.00    4.00    0.00    0.00  105.00    10  29388.00      0.00 9192876  822296   2.53  python3
08:30:39 PM  1002    107504    3.00    3.00    0.00    0.00    6.00    21   3990.00      0.00 2069292  167044   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:40 PM  1002    107357  120.00    7.00    0.00    0.00  127.00     0  29388.00      0.00 9192876  822256   2.53  python3
08:30:40 PM  1002    107504    2.00    3.00    0.00    0.00    5.00    12   4666.00      0.00 2072160  169948   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:41 PM  1002    107357  103.00    4.00    0.00    0.00  107.00    10  29388.00      0.00 9192876  822744   2.53  python3
08:30:41 PM  1002    107504    4.00    1.00    0.00    0.00    5.00     4   3990.00      0.00 2072160  169948   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:42 PM  1002    107357   87.00    3.00    0.00    0.00   90.00     4  29388.00      0.00 9192876  822968   2.53  python3
08:30:42 PM  1002    107504    2.00    3.00    0.00    0.00    5.00     0   3314.00      0.00 2069292  167044   0.51  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:43 PM  1002    107357  106.00    3.00    0.00    0.00  109.00     0  29388.00      0.00 9192876  822928   2.53  python3
08:30:43 PM  1002    107504    3.00    1.00    0.00    0.00    4.00    22   3991.00      0.00 2069292  167048   0.51  python3

