run_id,timestamp_s,mode,uav_id,frame_num,size_bytes,detection_count,latency_ms,inference_ms,overhead_ms,navsat_age_ms
a3_loopback,1785850614.007256,edge,1,64,74,0,37.98,34.4,3.58,-1.0
a3_loopback,1785850614.191689,edge,1,65,74,0,37.56,34.1,3.46,-1.0
a3_loopback,1785850614.379040,edge,1,66,74,0,41.10,37.6,3.50,-1.0
a3_loopback,1785850614.573357,edge,1,67,74,0,47.74,44.3,3.44,-1.0
a3_loopback,1785850614.767129,edge,1,68,74,0,47.06,43.6,3.46,-1.0
a3_loopback,1785850614.955594,edge,1,69,74,0,41.02,37.6,3.42,-1.0
a3_loopback,1785850615.140684,edge,1,70,73,0,37.42,33.9,3.52,-1.0
a3_loopback,1785850615.338763,edge,1,71,73,0,51.59,48.2,3.39,-1.0
a3_loopback,1785850615.529987,edge,1,72,74,0,44.09,40.6,3.49,-1.0
a3_loopback,1785850615.715266,edge,1,73,74,0,38.68,35.1,3.58,-1.0
a3_loopback,1785850615.900747,edge,1,74,74,0,38.82,35.4,3.42,-1.0
a3_loopback,1785850616.084284,edge,1,75,73,0,37.58,34.1,3.48,-1.0
a3_loopback,1785850616.269462,edge,1,76,72,0,38.23,34.4,3.83,-1.0
a3_loopback,1785850616.466175,edge,1,77,74,0,50.40,46.9,3.50,-1.0
a3_loopback,1785850616.653836,edge,1,78,74,0,39.41,35.6,3.81,-1.0
a3_loopback,1785850616.837521,edge,1,79,74,0,37.32,33.9,3.42,-1.0
a3_loopback,1785850617.020789,edge,1,80,73,0,36.85,33.4,3.45,-1.0
a3_loopback,1785850617.213317,edge,1,81,74,0,43.22,39.6,3.62,-1.0
a3_loopback,1785850617.397286,edge,1,82,74,0,37.02,33.3,3.72,-1.0
a3_loopback,1785850617.593940,edge,1,83,74,0,50.48,47.0,3.48,-1.0
a3_loopback,1785850617.800698,edge,1,84,74,0,54.04,50.5,3.54,-1.0
a3_loopback,1785850617.999601,edge,1,85,73,0,50.13,46.5,3.63,-1.0
a3_loopback,1785850618.195756,edge,1,86,74,0,47.53,44.0,3.53,-1.0
