point_index,east_m,north_m,nearest_sim_segment_index,nearest_east_m,nearest_north_m,real_to_sim_path_error_m
140,2.02007728,-22.291422,49,2.53371623,-22.2000773,0.521698015
141,2.03114709,-22.4794194,50,2.55935587,-22.2625155,0.571009478
142,2.0422169,-22.7116515,50,2.64255665,-22.4651277,0.648985213
143,2.07542633,-22.9438836,50,2.72895205,-22.6755195,0.706480837
144,2.14184517,-23.1539984,50,2.8123676,-22.8786547,0.724854792
145,2.20826401,-23.4194065,50,2.91521255,-23.1291048,0.764232507
146,2.25254324,-23.6848146,50,3.01486289,-23.3717753,0.824090331
147,2.27468286,-23.9723401,50,3.11909038,-23.6255922,0.912829768
148,2.31896209,-24.2930416,50,3.23817012,-23.9155776,0.993691352
149,2.34110172,-24.6248018,52,3.3782318,-24.6248017,1.03713008
150,2.35217154,-24.9012686,52,3.37823181,-24.9012685,1.02606028
151,2.37431115,-25.155618,53,3.37823183,-25.155618,1.00392067
152,2.41859039,-25.4320848,54,3.37823184,-25.4320848,0.959641456
153,2.4296602,-25.697493,54,3.37823186,-25.6974929,0.948571655
154,2.44073002,-25.9739598,55,3.37823188,-25.9739597,0.937501852
155,2.47393945,-26.2614852,56,3.37823189,-26.2614852,0.90429244
156,2.52928849,-26.5490107,57,3.37823191,-26.5490107,0.848943416
157,2.58463753,-26.8365362,57,3.37823191,-26.5768785,0.834993493
158,2.61784697,-27.1351203,57,3.37823191,-26.5768785,0.943302272
159,2.6510564,-27.3894698,57,3.37823191,-26.5768785,1.09045348
160,2.66212621,-27.4889978,57,3.37823191,-26.5768785,1.15964177
161,2.70640543,-27.5111152,57,3.37823191,-26.5768785,1.15071671
162,2.76175446,-27.5442912,57,3.37823191,-26.5768785,1.14714067
163,2.79496388,-27.5664085,57,3.37823191,-26.5768785,1.14863886
164,2.80603369,-27.5332325,57,3.37823191,-26.5768785,1.1144612
165,2.79496388,-27.4668805,57,3.37823191,-26.5768785,1.06409825
166,2.76175446,-27.4115871,57,3.37823191,-26.5768785,1.03768151
167,2.72854504,-27.3784111,57,3.37823191,-26.5768785,1.03176912
168,2.73961484,-27.3894698,57,3.37823191,-26.5768785,1.03350681
169,2.78389407,-27.4226458,57,3.37823191,-26.5768785,1.03371164
170,2.80603368,-27.4447631,57,3.37823191,-26.5768785,1.03953573
171,2.73961485,-27.4558218,57,3.37823191,-26.5768785,1.08644975
172,2.63998659,-27.4779392,57,3.37823191,-26.5768785,1.16486756
173,2.54035834,-27.4558218,57,3.37823191,-26.5768785,1.21432016
174,2.54035833,-27.4005285,57,3.37823191,-26.5768785,1.1749176
175,2.51821872,-27.4005285,57,3.37823191,-26.5768785,1.19080725
176,2.50714892,-27.4115871,57,3.37823191,-26.5768785,1.20645102
177,2.50714892,-27.4226458,57,3.37823191,-26.5768785,1.21412845
