filename,gt_count,notes,raw_pred_count,raw_tp,raw_fp,raw_fn,raw_mean_confidence,raw_inference_ms,original_detail_row
frame_0001.png,5,,5,5,0,0,0.4215,45.5281,2
frame_0002.png,5,,3,3,0,2,0.5025,47.2325,3
frame_0003.png,5,,4,4,0,1,0.4710,47.9276,4
frame_0004.png,5,,4,4,0,1,0.4925,40.7192,5
frame_0005.png,5,,4,4,0,1,0.3901,35.9801,6
frame_0006.png,5,,3,3,0,2,0.3988,46.3619,7
frame_0007.png,5,,2,2,0,3,0.4636,47.6937,8
frame_0008.png,5,,3,3,0,2,0.4304,43.0321,9
frame_0009.png,5,,7,5,2,0,0.5516,35.6546,10
frame_0010.png,5,,7,5,2,0,0.5411,45.1059,11
frame_0011.png,5,,9,5,4,0,0.4041,49.5892,12
frame_0012.png,5,,6,5,1,0,0.5068,47.5371,13
frame_0013.png,5,,6,5,1,0,0.5407,49.9654,14
frame_0014.png,5,,5,5,0,0,0.6200,46.3276,15
frame_0015.png,4,one human not partially hidden,4,4,0,0,0.7405,44.4647,16
frame_0016.png,4,4 human partially hidden,0,0,0,4,0.0000,47.2448,17
frame_0017.png,1,4 human partially hidden,1,1,0,0,0.2940,51.0999,18
frame_0018.png,5,,2,2,0,3,0.7806,40.9683,19
frame_0019.png,5,,5,5,0,0,0.6437,36.3548,20
frame_0020.png,5,,6,5,1,0,0.4760,41.7579,21
frame_0021.png,5,,6,5,1,0,0.4619,45.8922,22
frame_0022.png,5,,5,5,0,0,0.5125,37.0861,23
frame_0023.png,5,,6,5,1,0,0.5520,35.2369,24
frame_0024.png,5,,7,5,2,0,0.4432,47.4379,25
frame_0025.png,5,,7,5,2,0,0.4702,40.2865,26
frame_0026.png,5,,3,3,0,2,0.5846,45.2553,27
frame_0027.png,5,,3,3,0,2,0.5424,43.5291,28
frame_0028.png,5,,6,5,1,0,0.5044,49.5205,29
frame_0029.png,5,,3,3,0,2,0.4101,45.5017,30
frame_0030.png,5,,6,5,1,0,0.5180,36.0130,31
frame_0031.png,5,,4,4,0,1,0.4283,53.8586,32
frame_0032.png,5,,5,5,0,0,0.3556,49.0811,33
frame_0033.png,5,,2,2,0,3,0.4061,50.4309,34
frame_0034.png,0,,0,0,0,0,0.0000,45.5069,36
frame_0035.png,0,,0,0,0,0,0.0000,44.1190,37
frame_0036.png,0,,0,0,0,0,0.0000,45.1182,38
frame_0037.png,0,,0,0,0,0,0.0000,36.5480,39
frame_0038.png,5,,5,5,0,0,0.5492,34.8083,40
frame_0039.png,0,,0,0,0,0,0.0000,45.7208,41
frame_0040.png,0,,0,0,0,0,0.0000,35.7349,42
frame_0041.png,0,,0,0,0,0,0.0000,45.9712,43
frame_0042.png,0,,0,0,0,0,0.0000,41.6210,44
frame_0043.png,0,,0,0,0,0,0.0000,46.4166,45
frame_0044.png,0,,0,0,0,0,0.0000,40.3520,46
frame_0045.png,0,,0,0,0,0,0.0000,44.5712,47
frame_0046.png,0,,0,0,0,0,0.0000,37.0631,48
frame_0047.png,0,,0,0,0,0,0.0000,46.9809,49
frame_0048.png,0,,0,0,0,0,0.0000,43.9276,50
frame_0049.png,0,,0,0,0,0,0.0000,47.4739,51
frame_0050.png,0,,0,0,0,0,0.0000,47.7709,52
frame_0051.png,0,,0,0,0,0,0.0000,48.2698,53
frame_0052.png,0,,0,0,0,0,0.0000,40.8280,54
frame_0053.png,0,,0,0,0,0,0.0000,40.3175,55
frame_0054.png,0,,0,0,0,0,0.0000,43.6931,56
frame_0055.png,0,,0,0,0,0,0.0000,40.8006,57
frame_0056.png,0,,0,0,0,0,0.0000,36.8402,58
frame_0057.png,0,,0,0,0,0,0.0000,45.6923,59
frame_0058.png,0,,0,0,0,0,0.0000,45.8642,60
frame_0059.png,0,,0,0,0,0,0.0000,42.5288,61
frame_0060.png,0,,0,0,0,0,0.0000,44.1472,62
