filename,gt_count,notes,q5_pred_count,q5_tp,q5_fp,q5_fn,q5_mean_confidence,q5_inference_ms,q5_size_bytes,q5_encode_ms,q5_decode_ms,original_detail_row
frame_0001.png,5,,2,2,0,3,0.3182,43.9573,18564,1.3630,1.2804,2
frame_0002.png,5,,1,1,0,4,0.3240,46.0497,18564,1.3537,1.3598,3
frame_0003.png,5,,2,2,0,3,0.3587,45.6840,18596,1.3764,1.3131,4
frame_0004.png,5,,0,0,0,5,0.0000,31.4914,18631,1.3621,1.3655,5
frame_0005.png,5,,0,0,0,5,0.0000,33.1025,18583,1.3267,1.4661,6
frame_0006.png,5,,1,1,0,4,0.2936,45.8330,18598,1.3504,1.3306,7
frame_0007.png,5,,2,2,0,3,0.3155,44.8239,18578,1.3683,1.4266,8
frame_0008.png,5,,2,2,0,3,0.3153,33.2769,18561,1.3461,1.3237,9
frame_0009.png,5,,0,0,0,5,0.0000,33.1839,18538,1.3603,1.3550,10
frame_0010.png,5,,1,1,0,4,0.2820,32.2671,18499,1.3347,1.3839,11
frame_0011.png,5,,0,0,0,5,0.0000,46.8071,18541,1.3381,1.4414,12
frame_0012.png,5,,1,1,0,4,0.2684,47.4787,18663,1.3436,1.3741,13
frame_0013.png,5,,2,2,0,3,0.3735,33.0088,18724,1.3518,1.3469,14
frame_0014.png,5,,1,1,0,4,0.3076,32.4290,18919,1.3654,1.3465,15
frame_0015.png,4,one human not partially hidden,0,0,0,4,0.0000,45.5885,19112,1.3533,1.5464,16
frame_0016.png,4,4 human partially hidden,0,0,0,4,0.0000,38.8854,19045,1.3558,1.3412,17
frame_0017.png,1,4 human partially hidden,0,0,0,1,0.0000,46.1344,18918,1.3886,1.3484,18
frame_0018.png,5,,0,0,0,5,0.0000,33.3938,19024,1.3610,1.3300,19
frame_0019.png,5,,0,0,0,5,0.0000,33.8072,18928,1.3980,1.3577,20
frame_0020.png,5,,1,1,0,4,0.3378,43.6512,18737,1.3205,1.3555,21
frame_0021.png,5,,1,1,0,4,0.3279,44.1349,18671,1.3552,1.3332,22
frame_0022.png,5,,3,3,0,2,0.3060,34.3497,18696,1.3547,1.4111,23
frame_0023.png,5,,1,1,0,4,0.2669,32.5954,18589,1.3407,1.3350,24
frame_0024.png,5,,0,0,0,5,0.0000,44.1177,18499,1.3336,1.3268,25
frame_0025.png,5,,0,0,0,5,0.0000,32.3763,18554,1.3511,1.3538,26
frame_0026.png,5,,0,0,0,5,0.0000,35.9733,18634,1.3122,1.3433,27
frame_0027.png,5,,3,3,0,2,0.3025,43.6366,18594,1.3350,1.3381,28
frame_0028.png,5,,0,0,0,5,0.0000,43.7858,18644,1.3572,1.3859,29
frame_0029.png,5,,1,1,0,4,0.2726,35.0794,18823,1.3487,1.3692,30
frame_0030.png,5,,0,0,0,5,0.0000,33.8181,18941,1.3482,1.3747,31
frame_0031.png,5,,0,0,0,5,0.0000,47.5317,18902,1.3882,1.4715,32
frame_0032.png,5,,0,0,0,5,0.0000,47.4395,19005,1.3883,1.3573,33
frame_0033.png,5,,0,0,0,5,0.0000,41.6854,18420,1.3568,1.3212,34
frame_0034.png,0,,0,0,0,0,0.0000,33.4700,17879,1.3397,1.3212,36
frame_0035.png,0,,0,0,0,0,0.0000,41.5142,17949,1.3247,1.3145,37
frame_0036.png,0,,0,0,0,0,0.0000,36.6187,17406,1.5127,1.3231,38
frame_0037.png,0,,0,0,0,0,0.0000,33.4300,17767,1.3950,1.3234,39
frame_0038.png,5,,4,4,0,1,0.4139,37.9285,18263,1.3189,1.3954,40
frame_0039.png,0,,0,0,0,0,0.0000,32.7390,17137,1.3455,1.3330,41
frame_0040.png,0,,0,0,0,0,0.0000,34.2126,17417,1.3377,1.3141,42
frame_0041.png,0,,0,0,0,0,0.0000,36.9212,19837,1.4198,1.3770,43
frame_0042.png,0,,0,0,0,0,0.0000,34.8000,19186,1.3709,1.3235,44
frame_0043.png,0,,0,0,0,0,0.0000,46.5570,18577,1.3842,1.3931,45
frame_0044.png,0,,0,0,0,0,0.0000,35.1227,18711,1.3507,1.3704,46
frame_0045.png,0,,0,0,0,0,0.0000,42.0516,18807,1.3813,1.3193,47
frame_0046.png,0,,0,0,0,0,0.0000,31.1237,18793,1.3749,1.3679,48
frame_0047.png,0,,0,0,0,0,0.0000,42.3254,18713,1.3890,1.3536,49
frame_0048.png,0,,0,0,0,0,0.0000,44.7018,18515,1.3627,1.6071,50
frame_0049.png,0,,0,0,0,0,0.0000,44.9974,17138,1.3127,1.3296,51
frame_0050.png,0,,0,0,0,0,0.0000,43.6533,20160,1.4167,1.4080,52
frame_0051.png,0,,0,0,0,0,0.0000,46.0738,17673,1.3689,1.3136,53
frame_0052.png,0,,0,0,0,0,0.0000,32.9979,17469,1.3509,1.3763,54
frame_0053.png,0,,0,0,0,0,0.0000,33.5625,17830,1.2981,1.3121,55
frame_0054.png,0,,0,0,0,0,0.0000,36.1831,17711,1.3341,1.3119,56
frame_0055.png,0,,0,0,0,0,0.0000,34.2379,17541,1.3261,1.2919,57
frame_0056.png,0,,0,0,0,0,0.0000,34.0192,17634,1.3630,1.2993,58
frame_0057.png,0,,0,0,0,0,0.0000,38.0547,17762,1.3337,1.2962,59
frame_0058.png,0,,0,0,0,0,0.0000,44.2523,17912,1.3311,1.4857,60
frame_0059.png,0,,0,0,0,0,0.0000,32.0076,18144,1.3449,1.3384,61
frame_0060.png,0,,0,0,0,0,0.0000,44.0176,18308,1.3472,1.3175,62
