time_s,assignment
1.834554,"{""assignments"": [{""gcs_snr_db"": 38.62, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9974, ""uav_id"": 1}, {""gcs_snr_db"": 9.5, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7709, ""uav_id"": 2}, {""gcs_snr_db"": 31.06, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.995, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
3.834579,"{""assignments"": [{""gcs_snr_db"": 39.23, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9991, ""uav_id"": 1}, {""gcs_snr_db"": 16.86, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8489, ""uav_id"": 2}, {""gcs_snr_db"": 26.71, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9664, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
5.834601,"{""assignments"": [{""gcs_snr_db"": 40.45, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9986, ""uav_id"": 1}, {""gcs_snr_db"": 14.88, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8287, ""uav_id"": 2}, {""gcs_snr_db"": 32.3, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9982, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
7.834625,"{""assignments"": [{""gcs_snr_db"": 42.11, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9974, ""uav_id"": 1}, {""gcs_snr_db"": 16.3, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8421, ""uav_id"": 2}, {""gcs_snr_db"": 29.2, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9898, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
9.834502,"{""assignments"": [{""gcs_snr_db"": 40.13, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9992, ""uav_id"": 1}, {""gcs_snr_db"": 15.31, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8331, ""uav_id"": 2}, {""gcs_snr_db"": 31.02, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9992, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
11.834508,"{""assignments"": [{""gcs_snr_db"": 40.32, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9987, ""uav_id"": 1}, {""gcs_snr_db"": 17.7, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8564, ""uav_id"": 2}, {""gcs_snr_db"": 32.45, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9981, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
13.834560,"{""assignments"": [{""gcs_snr_db"": 40.16, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9989, ""uav_id"": 1}, {""gcs_snr_db"": 0.9, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.6894, ""uav_id"": 2}, {""gcs_snr_db"": 34.07, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9989, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
15.834533,"{""assignments"": [{""gcs_snr_db"": 39.1, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9981, ""uav_id"": 1}, {""gcs_snr_db"": 16.79, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8471, ""uav_id"": 2}, {""gcs_snr_db"": 28.38, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9803, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
17.834868,"{""assignments"": [{""gcs_snr_db"": 43.1, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.998, ""uav_id"": 1}, {""gcs_snr_db"": 19.15, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.871, ""uav_id"": 2}, {""gcs_snr_db"": 32.99, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9983, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
19.834547,"{""assignments"": [{""gcs_snr_db"": 38.77, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9979, ""uav_id"": 1}, {""gcs_snr_db"": 12.87, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8082, ""uav_id"": 2}, {""gcs_snr_db"": 27.5, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9715, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
