mode,precision,recall,f1,exact_count_rate,evaluation_frames,image_representation,mean_processed_frame_ratio,mean_of_run_median_latency_ms,mean_p95_latency_ms,mean_inference_ms,mean_detection_count,mean_cpu_percent,mean_rss_mb,mean_compression_ms,mean_decode_ms,independent_runs
Edge/raw,0.878205,0.810651,0.843077,0.557377,61,edge_raw,1.0000,182.4050,421.2535,54.5237,3.0567,56.2167,952.3228,,,3
Ground/JPEG q5,1.000000,0.171598,0.292929,0.426230,61,ground_q5,0.7667,507.8583,562.9742,51.5667,1.1078,42.4413,963.3388,2.5076,2.1362,3
