representation,jpeg_quality,frames,total_gt,tp,fp,fn,precision,recall,f1,exact_count_accuracy,mean_predicted_count,mean_confidence,mean_payload_bytes,median_payload_bytes,std_payload_bytes,mean_compression_ratio,mean_encode_ms,mean_decode_ms,mean_inference_ms,median_inference_ms,source_path,run_id
RAW,,60,164,135,19,29,0.876623,0.823171,0.849057,0.566667,2.566667,0.498965,2764800.000000,2764800.000000,0.000000,1.000000,0.000000,0.000000,36.147564,35.491180,results/conference_paper/quality_sweep/processed/quality_sweep_summary_20260827_095558_UTC.csv,conference_qs_full_01
Q5,5,60,164,29,0,135,1.000000,0.176829,0.300518,0.433333,0.483333,0.328418,18458.900000,18580.500000,586.232482,149.933836,1.360218,1.374867,34.103085,33.691696,results/conference_paper/quality_sweep/processed/quality_sweep_summary_20260827_095558_UTC.csv,conference_qs_full_01
Q20,20,60,164,126,18,38,0.875000,0.768293,0.818182,0.583333,2.400000,0.475877,52674.800000,51945.000000,2307.186489,52.585513,1.693965,1.892238,33.900697,33.863729,results/conference_paper/quality_sweep/processed/quality_sweep_summary_20260827_095558_UTC.csv,conference_qs_full_01
Q40,40,60,164,141,24,23,0.854545,0.859756,0.857143,0.550000,2.750000,0.488485,89069.916667,87764.000000,3395.923808,31.084653,1.868256,2.225222,34.171093,33.987018,results/conference_paper/quality_sweep/processed/quality_sweep_summary_20260827_095558_UTC.csv,conference_qs_full_01
Q90,90,60,164,138,21,26,0.867925,0.841463,0.854489,0.600000,2.650000,0.508224,284747.233333,282662.500000,10521.859435,9.722453,2.658662,3.929654,34.270814,34.214261,results/conference_paper/quality_sweep/processed/quality_sweep_summary_20260827_095558_UTC.csv,conference_qs_full_01
