elapsed_s,log_timestamp_unix_s,source_message,source_time_boot_ms,seq,sysid,compid,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,airspeed_mps,groundspeed_mps,heading_deg,throttle_percent,alt_m_msl,climb_up_mps,armed,flight_mode,base_mode,custom_mode,system_status,vehicle_type,autopilot_type
0.309906,1788179596.179412,ATTITUDE,108856,228,1,1,0.009789763018488884,0.014137964695692062,3.0364465713500977,0.5609121033926664,0.8100457079681144,173.97557325532998,-0.002918637590482831,-0.0018508895300328732,0.0008327431278303266,,,,,,,,,,,,,
0.310409,1788179596.179915,VFR_HUD,,229,1,1,,,,,,,,,,0.029912617057561874,0.02963583543896675,173,0,29.479999542236328,0.004059707745909691,,,,,,,
0.310409,1788179596.179915,ATTITUDE,109103,231,1,1,0.009510703384876251,0.014074076898396015,3.036530017852783,0.5449231641541954,0.8063852068206636,173.980354387749,-0.004181115888059139,0.003491999814286828,-0.0013774032704532146,,,,,,,,,,,,,
0.450349,1788179596.319855,VFR_HUD,,232,1,1,,,,,,,,,,0.02534927986562252,0.025141816586256027,173,0,29.479999542236328,0.0032364861108362675,,,,,,,
0.764707,1788179596.634213,ATTITUDE,109358,0,1,1,0.009591036476194859,0.014363390393555164,3.036531448364258,0.5495259112419907,0.8229616490494615,173.98043635001903,0.002237969310954213,0.0017909070011228323,0.0003435408289078623,,,,,,,,,,,,,
0.764707,1788179596.634213,VFR_HUD,,1,1,1,,,,,,,,,,0.02409481443464756,0.024064548313617706,173,0,29.479999542236328,0.0012073131510987878,,,,,,,
0.811698,1788179596.681204,ATTITUDE,109603,3,1,1,0.009728766977787018,0.014157791621983051,3.0366926193237305,0.5574172876934412,0.811181707165305,173.9896707657769,0.0027279334608465433,-0.0034164295066148043,0.0009192852303385735,,,,,,,,,,,,,
0.811698,1788179596.681204,VFR_HUD,,4,1,1,,,,,,,,,,0.021453624591231346,0.02145349606871605,173,0,29.479999542236328,-7.39668685127981e-05,,,,,,,
0.827102,1788179596.696608,HEARTBEAT,,5,1,1,,,,,,,,,,,,,,,,0,STABILIZE,81,0,3,2,3
1.498916,1788179597.368422,ATTITUDE,109858,29,1,1,0.009751850739121437,0.014325580559670925,3.0366053581237793,0.5587398897931908,0.8207953051438038,173.98467106730445,0.0036648958921432495,0.001182652311399579,-0.0008098614634945989,,,,,,,,,,,,,
1.498916,1788179597.368422,VFR_HUD,,30,1,1,,,,,,,,,,0.02025201916694641,0.020250627771019936,173,0,29.479999542236328,-0.00023707965738140047,,,,,,,
1.546707,1788179597.416213,ATTITUDE,110104,33,1,1,0.009735757485032082,0.014110209420323372,3.0366406440734863,0.557817814255239,0.808455447830265,173.98669280329878,0.001859211828559637,-0.0018081765156239271,0.00038822772330604494,,,,,,,,,,,,,
1.576080,1788179597.445586,VFR_HUD,,34,1,1,,,,,,,,,,0.023753628134727478,0.02367866225540638,173,0,29.479999542236328,0.001885696779936552,,,,,,,
1.888177,1788179597.757683,ATTITUDE,110356,59,1,1,0.00961215142160654,0.01417786255478859,3.036618947982788,0.5507357084987291,0.812331686905953,173.98544970886982,-0.002567725721746683,0.0009518521837890148,-0.0006510962848551571,,,,,,,,,,,,,
1.919140,1788179597.788646,VFR_HUD,,60,1,1,,,,,,,,,,0.025573156774044037,0.02550022304058075,173,0,29.479999542236328,0.0019300219137221575,,,,,,,
1.919728,1788179597.789234,ATTITUDE,110603,62,1,1,0.009514324367046356,0.014116141013801098,3.036630868911743,0.5451306311502345,0.8087953031023261,173.98613272778684,-0.0017392948502674699,-0.001076231012120843,-0.0008584515890106559,,,,,,,,,,,,,
1.950554,1788179597.820060,VFR_HUD,,63,1,1,,,,,,,,,,0.02762269414961338,0.027543438598513603,173,0,29.479999542236328,0.002090949798002839,,,,,,,
1.950554,1788179597.820060,HEARTBEAT,,64,1,1,,,,,,,,,,,,,,,,0,STABILIZE,81,0,3,2,3
2.260105,1788179598.129611,ATTITUDE,110856,88,1,1,0.009492025710642338,0.014184589497745037,3.0365993976593018,0.5438530122494719,0.8127171123463828,173.98432955784594,-0.00012771011097356677,0.001192200928926468,-2.773950109258294e-05,,,,,,,,,,,,,
2.275502,1788179598.145008,VFR_HUD,,89,1,1,,,,,,,,,,0.02900431491434574,0.028970256447792053,173,0,29.479999542236328,0.0014049297897145152,,,,,,,
2.338456,1788179598.207962,ATTITUDE,111103,91,1,1,0.00956561230123043,0.014256210997700691,3.036684274673462,0.5480692133189268,0.8168207220162381,173.989192652535,0.0010790708474814892,-0.00013143784599378705,0.0006587211973965168,,,,,,,,,,,,,
2.338456,1788179598.207962,VFR_HUD,,92,1,1,,,,,,,,,,0.028201155364513397,0.028197214007377625,173,0,29.479999542236328,0.0004713998641818762,,,,,,,
2.805700,1788179598.675206,ATTITUDE,111356,116,1,1,0.009548517875373363,0.014303999952971935,3.0366992950439453,0.5470897748641175,0.8195588274606199,173.9900532563704,0.0003051573585253209,0.0008607442141510546,-0.0005983320297673345,,,,,,,,,,,,,
2.837269,1788179598.706775,VFR_HUD,,117,1,1,,,,,,,,,,0.028678912669420242,0.028647948056459427,173,0,29.479999542236328,0.0013321986189112067,,,,,,,
2.837269,1788179598.706775,ATTITUDE,111603,119,1,1,0.009439817629754543,0.014300796203315258,3.036740779876709,0.5408617095581237,0.8193752661266758,173.99243016220157,-0.00019364917534403503,-0.0007971671875566244,7.298943819478154e-05,,,,,,,,,,,,,
2.852865,1788179598.722371,VFR_HUD,,120,1,1,,,,,,,,,,0.030089624226093292,0.030046962201595306,173,0,29.479999542236328,0.0016017513116821647,,,,,,,
2.852865,1788179598.722371,HEARTBEAT,,121,1,1,,,,,,,,,,,,,,,,0,STABILIZE,81,0,3,2,3
3.384042,1788179599.253548,ATTITUDE,111858,145,1,1,0.009352429769933224,0.014308594167232513,3.0367372035980225,0.5358547540096812,0.8198220565479298,173.99222525652647,-0.0006144895451143384,-0.00013393891276791692,-0.0006519060116261244,,,,,,,,,,,,,
3.384042,1788179599.253548,VFR_HUD,,146,1,1,,,,,,,,,,0.032950568944215775,0.03273779898881912,173,0,29.479999542236328,0.0037384284660220146,,,,,,,
3.384042,1788179599.253548,ATTITUDE,112103,148,1,1,0.009392191655933857,0.014295335859060287,3.0367963314056396,0.5381329422629978,0.8190624114461775,173.9956130303548,-0.0007768373470753431,-0.0003693897451739758,-0.0003601337084546685,,,,,,,,,,,,,
3.384042,1788179599.253548,VFR_HUD,,149,1,1,,,,,,,,,,0.03386155143380165,0.033735182136297226,173,0,29.479999542236328,0.0029226834885776043,,,,,,,
3.758976,1788179599.628482,ATTITUDE,112356,173,1,1,0.009313455782830715,0.014272444881498814,3.036790609359741,0.5336217090379102,0.8177508550429764,173.99528518127465,0.0009878958808258176,0.000836287101265043,-0.0006146093364804983,,,,,,,,,,,,,
3.758976,1788179599.628482,VFR_HUD,,174,1,1,,,,,,,,,,0.03772647678852081,0.03762777894735336,173,0,29.479999542236328,0.002727127866819501,,,,,,,
3.805939,1788179599.675445,ATTITUDE,112603,176,1,1,0.009365327656269073,0.014286786317825317,3.036834955215454,0.5365937484613649,0.8185725588166407,173.99782601164588,0.0006677081692032516,-0.0003625178069341928,-0.00016550299187656492,,,,,,,,,,,,,
3.805939,1788179599.675445,VFR_HUD,,177,1,1,,,,,,,,,,0.03888944163918495,0.038803376257419586,173,0,29.479999542236328,0.0025856478605419397,,,,,,,
3.821846,1788179599.691352,HEARTBEAT,,178,1,1,,,,,,,,,,,,,,,,0,STABILIZE,81,0,3,2,3
4.257392,1788179600.126898,ATTITUDE,112856,202,1,1,0.009390544146299362,0.01431985478848219,3.03682804107666,0.5380385469142341,0.8204672426202316,173.99742986067403,-0.0001804983039619401,0.00012953658006154,-0.0007796131540089846,,,,,,,,,,,,,
4.303846,1788179600.173352,VFR_HUD,,203,1,1,,,,,,,,,,0.04031689837574959,0.040272437036037445,173,0,29.479999542236328,0.0018931468948721886,,,,,,,
4.339823,1788179600.209329,ATTITUDE,113103,208,1,1,0.009482393972575665,0.014456871896982193,3.036827325820923,0.543301154308876,0.8283177446583679,173.99738887953902,-0.0004595224163495004,-5.297770258039236e-06,-0.0007685059681534767,,,,,,,,,,,,,
4.339823,1788179600.209329,VFR_HUD,,209,1,1,,,,,,,,,,0.037909992039203644,0.037864744663238525,173,0,29.479999542236328,0.0018514019902795553,,,,,,,
4.882026,1788179600.751532,ATTITUDE,113358,236,1,1,0.00954839400947094,0.014431104063987732,3.0368564128875732,0.547082677870683,0.8268413565805873,173.99905544569648,0.00024239972117356956,-2.794302417896688e-05,-0.0007598910597153008,,,,,,,,,,,,,
4.882026,1788179600.751532,VFR_HUD,,237,1,1,,,,,,,,,,0.036244142800569534,0.03618348762392998,173,0,29.479999542236328,0.0020957610104233027,,,,,,,
5.024416,1788179600.893922,ATTITUDE,113603,248,1,1,0.009781397879123688,0.01447117980569601,3.0368688106536865,0.5604328162120019,0.8291375274413281,173.99976578537016,0.00020549006876535714,-2.5534944143146276e-05,0.0003345766745042056,,,,,,,,,,,,,
5.024416,1788179600.893922,VFR_HUD,,249,1,1,,,,,,,,,,0.031988635659217834,0.03187969699501991,173,0,29.479999542236328,0.002637646859511733,,,,,,,
5.117374,1788179600.986880,HEARTBEAT,,250,1,1,,,,,,,,,,,,,,,,0,STABILIZE,81,0,3,2,3
5.856664,1788179601.726170,HEARTBEAT,,17,1,1,,,,,,,,,,,,,,,,0,STABILIZE,81,0,3,2,3
6.793957,1788179602.663463,ATTITUDE,115376,50,1,1,0.010144836269319057,0.014538108371198177,3.037014961242676,0.5812563020832253,0.8329722517734671,174.0081395972926,0.0001362740877084434,0.00018524850020185113,-0.0005383659736253321,,,,,,,,,,,,,
6.793957,1788179602.663463,VFR_HUD,,51,1,1,,,,,,,,,,0.022630423307418823,0.02257421799004078,174,0,29.479999542236328,0.001593880821019411,,,,,,,
6.978475,1788179602.847981,ATTITUDE,115603,56,1,1,0.010085019282996655,0.014511184766888618,3.0370192527770996,0.5778290412237599,0.8314296428772492,174.00838548410272,-0.00038806520751677454,-0.0002981616125907749,6.944910273887217e-05,,,,,,,,,,,,,
6.978475,1788179602.847981,VFR_HUD,,57,1,1,,,,,,,,,,0.02467767708003521,0.02462594024837017,174,0,29.479999542236328,0.0015970671083778143,,,,,,,
