time_s,raw_score_array
0.007503,"[1.0, 0.9988159537315369, 1.0, 54.84568786621094, -39.15431213378906, 1.0, 0.9940796494483948, 1.0, 2.0, 0.9991909265518188, 1.0, 47.892234802246094, -46.107765197753906, 1.0, 0.995954692363739, 1.0, 3.0, 0.9993294477462769, 1.0, 52.304931640625, -41.695068359375, 1.0, 0.9966473579406738, 1.0]"
0.007522,"[1.0, 0.9986804723739624, 1.0, 53.05759811401367, -40.94240188598633, 1.0, 0.9934024214744568, 1.0, 2.0, 0.9978545308113098, 1.0, 52.20750427246094, -41.79249572753906, 1.0, 0.9892727136611938, 1.0, 3.0, 0.9988171458244324, 1.0, 55.881168365478516, -38.118831634521484, 1.0, 0.9940856099128723, 1.0]"
0.007529,"[1.0, 0.9969477653503418, 1.0, 51.74588394165039, -42.25411605834961, 1.0, 0.984738826751709, 1.0, 2.0, 0.9955031871795654, 1.0, 51.03156661987305, -42.96843338012695, 1.0, 0.9775158762931824, 1.0, 3.0, 0.9967799186706543, 1.0, 54.339080810546875, -39.660919189453125, 1.0, 0.9838995933532715, 1.0]"
0.007537,"[1.0, 0.9778343439102173, 1.0, 43.47418975830078, -50.52581024169922, 1.0, 0.889171838760376, 1.0, 2.0, 0.9583249688148499, 1.0, 48.80853271484375, -45.19146728515625, 1.0, 0.7916249632835388, 1.0, 3.0, 0.9777887463569641, 1.0, 50.829341888427734, -43.170658111572266, 1.0, 0.8889437913894653, 1.0]"
0.007544,"[1.0, 0.9727537035942078, 1.0, 49.87970733642578, -44.12029266357422, 1.0, 0.8637685179710388, 1.0, 2.0, 0.9576751589775085, 1.0, 50.33362579345703, -43.66637420654297, 1.0, 0.7883758544921875, 1.0, 3.0, 0.9759406447410583, 1.0, 46.49260330200195, -47.50739669799805, 1.0, 0.8797032237052917, 1.0]"
0.007551,"[1.0, 0.9551110863685608, 1.0, 41.47256851196289, -52.52743148803711, 1.0, 0.775555431842804, 1.0, 2.0, 0.9749931693077087, 1.0, 46.636837005615234, -47.363162994384766, 1.0, 0.8749658465385437, 1.0, 3.0, 0.9755731225013733, 1.0, 49.47260284423828, -44.52739715576172, 1.0, 0.8778656721115112, 1.0]"
0.007559,"[1.0, 0.9547744989395142, 1.0, 51.47256088256836, -42.52743911743164, 1.0, 0.7738723754882812, 1.0, 2.0, 0.9751806855201721, 1.0, 49.90190505981445, -44.09809494018555, 1.0, 0.8759034276008606, 1.0, 3.0, 0.9755222797393799, 1.0, 47.935367584228516, -46.064632415771484, 1.0, 0.8776114583015442, 1.0]"
0.007570,"[1.0, 0.9683114290237427, 1.0, 48.226478576660156, -45.773521423339844, 1.0, 0.8415570855140686, 1.0, 2.0, 0.9674636125564575, 1.0, 51.4876594543457, -42.5123405456543, 1.0, 0.8373180031776428, 1.0, 3.0, 0.957578718662262, 1.0, 49.27717590332031, -44.72282409667969, 1.0, 0.787893533706665, 1.0]"
0.007578,"[1.0, 0.9458156228065491, 1.0, 49.795066833496094, -44.204933166503906, 1.0, 0.7290782332420349, 1.0, 2.0, 0.9364215135574341, 1.0, 51.26156997680664, -42.73843002319336, 1.0, 0.68210768699646, 1.0, 3.0, 0.9158080816268921, 1.0, 47.4036750793457, -46.5963249206543, 1.0, 0.57904052734375, 1.0]"
0.007585,"[1.0, 0.9369900822639465, 1.0, 41.42080307006836, -52.57919692993164, 1.0, 0.6849502921104431, 1.0, 2.0, 0.9270989298820496, 1.0, 48.32808303833008, -45.67191696166992, 1.0, 0.6354947686195374, 1.0, 3.0, 0.9018935561180115, 1.0, 50.52328109741211, -43.47671890258789, 1.0, 0.5094676613807678, 1.0]"
