time_s,assignment
0.164073,"{""assignments"": [{""gcs_snr_db"": 39.67, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8697, ""uav_id"": 1}, {""gcs_snr_db"": 34.3, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8798, ""uav_id"": 2}, {""gcs_snr_db"": 28.35, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8632, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
2.164162,"{""assignments"": [{""gcs_snr_db"": 36.16, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8706, ""uav_id"": 1}, {""gcs_snr_db"": 18.28, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7456, ""uav_id"": 2}, {""gcs_snr_db"": 37.15, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8814, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
4.164199,"{""assignments"": [{""gcs_snr_db"": 37.78, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8808, ""uav_id"": 1}, {""gcs_snr_db"": 11.95, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.6954, ""uav_id"": 2}, {""gcs_snr_db"": 36.86, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8849, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
6.164074,"{""assignments"": [{""gcs_snr_db"": 40.19, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9349, ""uav_id"": 1}, {""gcs_snr_db"": 20.39, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8308, ""uav_id"": 2}, {""gcs_snr_db"": 23.15, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8623, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
8.164070,"{""assignments"": [{""gcs_snr_db"": 42.48, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9886, ""uav_id"": 1}, {""gcs_snr_db"": 13.42, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8086, ""uav_id"": 2}, {""gcs_snr_db"": 31.34, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9828, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
10.164061,"{""assignments"": [{""gcs_snr_db"": 39.81, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9471, ""uav_id"": 1}, {""gcs_snr_db"": 10.62, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7462, ""uav_id"": 2}, {""gcs_snr_db"": 32.93, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9499, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
12.164075,"{""assignments"": [{""gcs_snr_db"": 36.65, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9569, ""uav_id"": 1}, {""gcs_snr_db"": 14.54, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7914, ""uav_id"": 2}, {""gcs_snr_db"": 31.0, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9396, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
14.164178,"{""assignments"": [{""gcs_snr_db"": 39.93, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9151, ""uav_id"": 1}, {""gcs_snr_db"": 16.25, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7575, ""uav_id"": 2}, {""gcs_snr_db"": 30.26, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8736, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
16.164186,"{""assignments"": [{""gcs_snr_db"": 38.59, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9651, ""uav_id"": 1}, {""gcs_snr_db"": 18.03, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8272, ""uav_id"": 2}, {""gcs_snr_db"": 21.4, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8587, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
18.164078,"{""assignments"": [{""gcs_snr_db"": 35.65, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9852, ""uav_id"": 1}, {""gcs_snr_db"": 15.39, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8235, ""uav_id"": 2}, {""gcs_snr_db"": 26.46, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9422, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
20.164122,"{""assignments"": [{""gcs_snr_db"": 38.39, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9396, ""uav_id"": 1}, {""gcs_snr_db"": 18.41, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8231, ""uav_id"": 2}, {""gcs_snr_db"": 26.54, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9125, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
22.164117,"{""assignments"": [{""gcs_snr_db"": 38.91, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8775, ""uav_id"": 1}, {""gcs_snr_db"": 10.54, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7099, ""uav_id"": 2}, {""gcs_snr_db"": 26.4, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8741, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
24.164181,"{""assignments"": [{""gcs_snr_db"": 16.8, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.7251, ""uav_id"": 1}, {""gcs_snr_db"": 8.78, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.688, ""uav_id"": 2}, {""gcs_snr_db"": 17.59, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.7873, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
26.164189,"{""assignments"": [{""gcs_snr_db"": 40.64, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9028, ""uav_id"": 1}, {""gcs_snr_db"": 5.16, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.6221, ""uav_id"": 2}, {""gcs_snr_db"": 26.42, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8746, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
28.164132,"{""assignments"": [{""gcs_snr_db"": 34.63, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9168, ""uav_id"": 1}, {""gcs_snr_db"": 34.04, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8793, ""uav_id"": 2}, {""gcs_snr_db"": 22.98, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8232, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
30.164213,"{""assignments"": [{""gcs_snr_db"": 40.99, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9038, ""uav_id"": 1}, {""gcs_snr_db"": 29.85, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9079, ""uav_id"": 2}, {""gcs_snr_db"": 23.36, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.7971, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
32.164236,"{""assignments"": [{""gcs_snr_db"": 39.03, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8713, ""uav_id"": 1}, {""gcs_snr_db"": 34.29, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8889, ""uav_id"": 2}, {""gcs_snr_db"": 20.86, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.7523, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
34.164270,"{""assignments"": [{""gcs_snr_db"": 35.92, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8909, ""uav_id"": 1}, {""gcs_snr_db"": 33.6, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9045, ""uav_id"": 2}, {""gcs_snr_db"": 32.78, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.874, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
36.164247,"{""assignments"": [{""gcs_snr_db"": 40.74, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9085, ""uav_id"": 1}, {""gcs_snr_db"": 33.21, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8968, ""uav_id"": 2}, {""gcs_snr_db"": 32.28, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9141, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
38.164125,"{""assignments"": [{""gcs_snr_db"": 40.71, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8969, ""uav_id"": 1}, {""gcs_snr_db"": 31.71, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8665, ""uav_id"": 2}, {""gcs_snr_db"": 31.85, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9081, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
40.164026,"{""assignments"": [{""gcs_snr_db"": 43.02, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.875, ""uav_id"": 1}, {""gcs_snr_db"": 8.29, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.6483, ""uav_id"": 2}, {""gcs_snr_db"": 28.98, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8968, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
42.164323,"{""assignments"": [{""gcs_snr_db"": 41.84, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.89, ""uav_id"": 1}, {""gcs_snr_db"": 17.45, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7863, ""uav_id"": 2}, {""gcs_snr_db"": 35.89, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9326, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
