Linux 5.15.0-186-generic (lenovo) 	08/28/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:00 AM  1002     21819  119.00    8.00    0.00    0.00  127.00    12  21838.00      0.00 9206340  836344   2.58  python3
10:56:00 AM  1002     21968    3.00    1.00    0.00    0.00    4.00     6      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:01 AM  1002     21819  130.00    5.00    0.00    0.00  135.00    10  20272.00      0.00 9206340  836248   2.57  python3
10:56:01 AM  1002     21968    4.00    1.00    0.00    0.00    5.00     6      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:02 AM  1002     21819  118.00    3.00    0.00    0.00  121.00    12  17722.00      0.00 9196140  825856   2.54  python3
10:56:02 AM  1002     21968    4.00    1.00    0.00    0.00    5.00     1      1.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:03 AM  1002     21819  114.00    4.00    0.00    0.00  118.00    10  16919.00      0.00 9207080  836868   2.58  python3
10:56:03 AM  1002     21968    3.00    1.00    0.00    0.00    4.00    10      1.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:04 AM  1002     21819   91.00    4.00    0.00    0.00   95.00    10  13489.00      0.00 9204300  834000   2.57  python3
10:56:04 AM  1002     21968    3.00    1.00    0.00    0.00    4.00    21      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:05 AM  1002     21819  112.00    4.00    0.00    0.00  116.00    10  14184.00      0.00 9204300  834056   2.57  python3
10:56:05 AM  1002     21968    4.00    1.00    0.00    0.00    5.00     4      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:06 AM  1002     21819  105.00    7.00    0.00    0.00  112.00     8  14184.00      0.00 9204300  833848   2.57  python3
10:56:06 AM  1002     21968    3.00    0.00    0.00    0.00    3.00    17      1.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:07 AM  1002     21819   94.00    3.00    0.00    0.00   97.00    10  14185.00      0.00 9204300  833908   2.57  python3
10:56:07 AM  1002     21968    4.00    0.00    0.00    0.00    4.00    18      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:08 AM  1002     21819   92.00    6.00    0.00    0.00   98.00    12  14184.00      0.00 9204300  833964   2.57  python3
10:56:08 AM  1002     21968    3.00    1.00    0.00    0.00    4.00     6      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:09 AM  1002     21819  119.00    0.00    0.00    0.00  119.00    12  14184.00      0.00 9204300  833756   2.57  python3
10:56:09 AM  1002     21968    3.00    2.00    0.00    0.00    5.00     0      1.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:10 AM  1002     21819  104.00    1.00    0.00    0.00  105.00    10  14184.00      0.00 9204300  834076   2.57  python3
10:56:10 AM  1002     21968    2.00    3.00    0.00    0.00    5.00    21      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:11 AM  1002     21819   92.00    3.00    0.00    0.00   95.00    10  14184.00      0.00 9204300  833868   2.57  python3
10:56:11 AM  1002     21968    4.00    1.00    0.00    0.00    5.00    23      1.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:12 AM  1002     21819   82.00    2.00    0.00    0.00   84.00    10  11751.00      0.00 9195120  824160   2.54  python3
10:56:12 AM  1002     21968    4.00    1.00    0.00    0.00    5.00    18      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:13 AM  1002     21819  103.00   15.00    0.00    0.00  118.00     8  16618.00      0.00 9204300  833984   2.57  python3
10:56:13 AM  1002     21968    3.00    2.00    0.00    0.00    5.00     0      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:14 AM  1002     21819  108.00    1.00    0.00    0.00  109.00     8  11156.00      0.00 9192060  822164   2.53  python3
10:56:14 AM  1002     21968    3.00    2.00    0.00    0.00    5.00    16      1.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:15 AM  1002     21819  146.00    3.00    0.00    0.00  149.00    14  17212.00      0.00 9204300  834096   2.57  python3
10:56:15 AM  1002     21968    2.00    2.00    0.00    0.00    4.00     0      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:16 AM  1002     21819  106.00    2.00    0.00    0.00  108.00    10  14184.00      0.00 9204300  833624   2.57  python3
10:56:16 AM  1002     21968    4.00    0.00    0.00    0.00    4.00    20      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:17 AM  1002     21819  102.00    1.00    0.00    0.00  103.00    12  14184.00      0.00 9204300  833944   2.57  python3
10:56:17 AM  1002     21968    3.00    1.00    0.00    0.00    4.00     6      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:18 AM  1002     21819  112.00    3.00    0.00    0.00  115.00    14  14185.00      0.00 9204300  834000   2.57  python3
10:56:18 AM  1002     21968    3.00    2.00    0.00    0.00    5.00     4      1.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:19 AM  1002     21819   90.00    7.00    0.00    0.00   97.00    14  14182.00      0.00 9204300  833792   2.57  python3
10:56:19 AM  1002     21968    4.00    0.00    0.00    0.00    4.00    12      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:20 AM  1002     21819  147.00    0.00    0.00    0.00  147.00    14  14187.00      0.00 9204300  834112   2.57  python3
10:56:20 AM  1002     21968    2.00    2.00    0.00    0.00    4.00     8      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:21 AM  1002     21819   86.00    2.00    0.00    0.00   88.00    14  14184.00      0.00 9204300  834172   2.57  python3
10:56:21 AM  1002     21968    4.00    0.00    0.00    0.00    4.00    22      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:22 AM  1002     21819  101.00    4.00    0.00    0.00  105.00    14  14184.00      0.00 9204300  833964   2.57  python3
10:56:22 AM  1002     21968    3.00    1.00    0.00    0.00    4.00     4      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:23 AM  1002     21819   93.00    5.00    0.00    0.00   98.00    14  14184.00      0.00 9204300  834020   2.57  python3
10:56:23 AM  1002     21968    3.00    0.00    0.00    0.00    3.00    23      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:56:24 AM  1002     21819  101.00    3.00    0.00    0.00  104.00     2  14163.00      0.00 9204300  833812   2.57  python3
10:56:24 AM  1002     21968    2.00    2.00    0.00    0.00    4.00    22      0.00      0.00 2072260  169912   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
