Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:23:15 AM  1002    100873   39.00    0.00    0.00    0.00   39.00     2  15109.00      0.00 9196732  826308   2.54  python3
02:23:15 AM  1002    101186    3.00    0.00    0.00    0.00    3.00     2      0.00      0.00 2072012  177504   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:23:16 AM  1002    100873   59.00    1.00    0.00    0.00   60.00     2  13196.00      0.00 9196732  826196   2.54  python3
02:23:16 AM  1002    101186    2.00    1.00    0.00    0.00    3.00     2      0.00      0.00 2072012  177504   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:23:17 AM  1002    100873   43.00    4.00    0.00    0.00   47.00     2  13196.00      0.00 9196732  826348   2.54  python3
02:23:17 AM  1002    101186    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072012  177504   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:23:18 AM  1002    100873    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9196732  826348   2.54  python3
02:23:18 AM  1002    101186    2.00    1.00    0.00    0.00    3.00     6      0.00      0.00 2072012  177504   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:23:19 AM  1002    100873   37.00    3.00    0.00    0.00   40.00     2  13197.00      0.00 9189080  818852   2.52  python3
02:23:19 AM  1002    101186    2.00    1.00    0.00    0.00    3.00    12      1.00      0.00 2072012  177504   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:23:20 AM  1002    100873   65.00    0.00    0.00    0.00   65.00     2  16862.00      0.00 9199940  829616   2.55  python3
