Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:55 AM  1002     43897   46.00    4.00    0.00    0.00   50.00    14  13706.00      0.00 9175896  805060   2.48  python3
12:04:55 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:56 AM  1002     43897   49.00    0.00    0.00    0.00   49.00    14  16734.00      0.00 9175896  805392   2.48  python3
12:04:56 AM  1002     44595    1.00    0.00    0.00    0.00    1.00    10      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:57 AM  1002     43897   41.00    6.00    0.00    0.00   47.00    14  16734.00      0.00 9183036  812336   2.50  python3
12:04:57 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     8      1.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:58 AM  1002     43897   76.00    1.00    0.00    0.00   77.00    14  15205.00      0.00 9175896  805340   2.48  python3
12:04:58 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:59 AM  1002     43897   50.00    1.00    0.00    0.00   51.00    14  16734.00      0.00 9175896  804884   2.48  python3
12:04:59 AM  1002     44595    2.00    0.00    0.00    0.00    2.00    14      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:00 AM  1002     43897   56.00    1.00    0.00    0.00   57.00    14  16734.00      0.00 9175896  804688   2.48  python3
12:05:00 AM  1002     44595    1.00    1.00    0.00    0.00    2.00    14      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:01 AM  1002     43897   53.00    7.00    0.00    0.00   60.00    14  14760.00      0.00 9175896  805044   2.48  python3
12:05:01 AM  1002     44595    2.00    1.00    0.00    0.00    3.00    14      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:02 AM  1002     43897   43.00    4.00    0.00    0.00   47.00    14  14726.00      0.00 9175896  805128   2.48  python3
12:05:02 AM  1002     44595    1.00    0.00    0.00    0.00    1.00    16      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:03 AM  1002     43897   50.00    4.00    0.00    0.00   54.00    14  16734.00      0.00 9182016  811316   2.50  python3
12:05:03 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:04 AM  1002     43897   49.00    4.00    0.00    0.00   53.00    14  13495.00      0.00 9178596  807712   2.49  python3
12:05:04 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     4      1.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:05 AM  1002     43897   49.00    3.00    0.00    0.00   52.00    14  14733.00      0.00 9184716  813924   2.51  python3
12:05:05 AM  1002     44595    1.00    1.00    0.00    0.00    2.00    12      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:06 AM  1002     43897   56.00    1.00    0.00    0.00   57.00     8  13196.00      0.00 9175896  805000   2.48  python3
12:05:06 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     6      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:07 AM  1002     43897   31.00    9.00    0.00    0.00   40.00     8  14726.00      0.00 9175896  805080   2.48  python3
12:05:07 AM  1002     44595    0.00    2.00    0.00    0.00    2.00     6      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
