Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:30 AM  1002     82461   81.00    6.00    0.00    0.00   87.00    12  16257.00      0.00 9177328  806492   2.48  python3
01:53:30 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    17   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:31 AM  1002     82461   49.00    1.00    0.00    0.00   50.00    14  15332.00      0.00 9171208  800632   2.47  python3
01:53:31 AM  1002     82777    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2072044  177252   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:32 AM  1002     82461   89.00    4.00    0.00    0.00   93.00    14  17244.00      0.00 9177328  806540   2.48  python3
01:53:32 AM  1002     82777    1.00    2.00    0.00    0.00    3.00    16   1996.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:33 AM  1002     82461   58.00    3.00    0.00    0.00   61.00    14  14694.00      0.00 9171208  800160   2.46  python3
01:53:33 AM  1002     82777    3.00    1.00    0.00    0.00    4.00     3   1995.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:34 AM  1002     82461   53.00   11.00    0.00    0.00   64.00    14  16665.00      0.00 9177328  806796   2.48  python3
01:53:34 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     8   1995.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:35 AM  1002     82461   57.00    3.00    0.00    0.00   60.00    14  15135.00      0.00 9171208  800212   2.46  python3
01:53:35 AM  1002     82777    2.00    2.00    0.00    0.00    4.00     8   1995.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:36 AM  1002     82461   40.00    6.00    0.00    0.00   46.00    14  16863.00      0.00 9177328  806580   2.48  python3
01:53:36 AM  1002     82777    2.00    0.00    0.00    0.00    2.00    10   1995.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:37 AM  1002     82461   74.00    6.00    0.00    0.00   80.00    14  15135.00      0.00 9165088  794404   2.45  python3
01:53:37 AM  1002     82777    1.00    1.00    0.00    0.00    2.00     8   1319.00      0.00 2069176  174352   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:38 AM  1002     82461   37.00    3.00    0.00    0.00   40.00    14  15677.00      0.00 9171208  800492   2.46  python3
01:53:38 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     8   2671.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:39 AM  1002     82461   42.00    0.00    0.00    0.00   42.00    14  16862.00      0.00 9177328  806856   2.48  python3
01:53:39 AM  1002     82777    1.00    1.00    0.00    0.00    2.00     0   1995.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:40 AM  1002     82461   55.00    1.00    0.00    0.00   56.00    14  15135.00      0.00 9171208  800764   2.47  python3
01:53:40 AM  1002     82777    1.00    2.00    0.00    0.00    3.00     0   1995.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:41 AM  1002     82461   50.00    1.00    0.00    0.00   51.00    14  14727.00      0.00 9177328  806956   2.48  python3
01:53:41 AM  1002     82777    2.00    0.00    0.00    0.00    2.00     8   1995.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:42 AM  1002     82461   53.00    3.00    0.00    0.00   56.00    12  13196.00      0.00 9167788  797236   2.45  python3
01:53:42 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    12   1996.00      0.00 2072044  177256   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:43 AM  1002     82461   51.00    3.00    0.00    0.00   54.00     2  14330.00      0.00 9173908  803216   2.47  python3
01:53:43 AM  1002     82777    2.00    0.00    0.00    0.00    2.00    14   1995.00      0.00 2072044  177260   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:44 AM  1002     82461   66.00    5.00    0.00    0.00   71.00    12  16098.00      0.00 9173908  802908   2.47  python3
01:53:44 AM  1002     82777    1.00    1.00    0.00    0.00    2.00     8   1319.00      0.00 2069176  174356   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:45 AM  1002     82461   56.00    1.00    0.00    0.00   57.00     2  15318.00      0.00 9167788  797304   2.45  python3
01:53:45 AM  1002     82777    2.00    0.00    0.00    0.00    2.00    12   1995.00      0.00 2069176  174356   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:46 AM  1002     82461   40.00    0.00    0.00    0.00   40.00    10  14330.00      0.00 9165088  794476   2.45  python3
01:53:46 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     8   1995.00      0.00 2069176  174356   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:47 AM  1002     82461   39.00    1.00    0.00    0.00   40.00    10  16385.00      0.00 9171208  800900   2.47  python3
01:53:47 AM  1002     82777    2.00    0.00    0.00    0.00    2.00    14   2671.00      0.00 2072044  177260   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:48 AM  1002     82461   53.00    1.00    0.00    0.00   54.00    10  18137.00      0.00 9177328  806708   2.48  python3
01:53:48 AM  1002     82777    3.00    1.00    0.00    0.00    4.00    14   1995.00      0.00 2072044  177260   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:49 AM  1002     82461   47.00    0.00    0.00    0.00   47.00    10  16607.00      0.00 9171208  800880   2.47  python3
01:53:49 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    17   1995.00      0.00 2072044  177260   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:50 AM  1002     82461   60.00    2.00    0.00    0.00   62.00    14  14726.00      0.00 9177328  807104   2.49  python3
01:53:50 AM  1002     82777    3.00    1.00    0.00    0.00    4.00     2   1995.00      0.00 2072044  177260   0.55  python3

