Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:13 AM  1002     74590   51.00    1.00    0.00    0.00   52.00    10  16097.00      0.00 9192948  822748   2.53  python3
01:16:13 AM  1002     74904    2.00    2.00    0.00    0.00    4.00     6   1990.00      0.00 2071968  177372   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:14 AM  1002     74590   44.00    7.00    0.00    0.00   51.00     8  16920.00      0.00 9192948  822812   2.53  python3
01:16:14 AM  1002     74904    2.00    2.00    0.00    0.00    4.00    20   1990.00      0.00 2071968  177372   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:15 AM  1002     74590   51.00    3.00    0.00    0.00   54.00    10  14606.00      0.00 9192948  822840   2.53  python3
01:16:15 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     8   1990.00      0.00 2071968  177372   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:16 AM  1002     74590    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9192948  822840   2.53  python3
01:16:16 AM  1002     74904    4.00    1.00    0.00    0.00    5.00    12   1991.00      0.00 2071968  177376   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:17 AM  1002     74590   48.00    6.00    0.00    0.00   54.00    10  16920.00      0.00 9192948  822636   2.53  python3
01:16:17 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    14   1990.00      0.00 2071968  177376   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:18 AM  1002     74590   55.00    0.00    0.00    0.00   55.00     8  13820.00      0.00 9192948  822868   2.53  python3
01:16:18 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     2   1990.00      0.00 2071968  177376   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:19 AM  1002     74590   45.00    4.00    0.00    0.00   49.00     8  16848.00      0.00 9192948  822952   2.53  python3
