Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:39 PM  1002     13138   40.00    0.00    0.00    0.00   40.00    10  16225.00      0.00 9178844  807700   2.49  python3
12:29:39 PM  1002     13449    1.00    2.00    0.00    0.00    3.00    10   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:40 PM  1002     13138   32.00    4.00    0.00    0.00   36.00    10   9626.00      0.00 9187004  815784   2.51  python3
12:29:40 PM  1002     13449    3.00    1.00    0.00    0.00    4.00     2   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:41 PM  1002     13138   84.00    7.00    0.00    0.00   91.00    10  16766.00      0.00 9172724  801548   2.47  python3
12:29:41 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:42 PM  1002     13138   57.00    1.00    0.00    0.00   58.00    12  12800.00      0.00 9172724  801456   2.47  python3
12:29:42 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    12   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:43 PM  1002     13138   37.00    2.00    0.00    0.00   39.00    12  16225.00      0.00 9178844  807496   2.49  python3
12:29:43 PM  1002     13449    1.00    2.00    0.00    0.00    3.00    12   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:44 PM  1002     13138   45.00    1.00    0.00    0.00   46.00    14  12176.00      0.00 9178844  807704   2.49  python3
12:29:44 PM  1002     13449    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:45 PM  1002     13138   34.00    5.00    0.00    0.00   39.00    14  14694.00      0.00 9178844  807696   2.49  python3
12:29:45 PM  1002     13449    2.00    2.00    0.00    0.00    4.00     0   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:46 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    14      0.00      0.00 9178844  807696   2.49  python3
12:29:46 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:47 PM  1002     13138   34.00    6.00    0.00    0.00   40.00    12  14514.00      0.00 9163904  792828   2.44  python3
12:29:47 PM  1002     13449    3.00    0.00    0.00    0.00    3.00     0   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:48 PM  1002     13138   22.00    1.00    0.00    0.00   23.00     8  14381.00      0.00 9193124  821732   2.53  python3
12:29:48 PM  1002     13449    2.00    2.00    0.00    0.00    4.00     4   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:49 PM  1002     13138   45.00    0.00    0.00    0.00   45.00     8  14298.00      0.00 9187004  815392   2.51  python3
12:29:49 PM  1002     13449    2.00    1.00    0.00    0.00    3.00     4   1995.00      0.00 2069392  174868   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:50 PM  1002     13138   91.00    5.00    0.00    0.00   96.00     8  17244.00      0.00 9178844  807776   2.49  python3
12:29:50 PM  1002     13449    1.00    2.00    0.00    0.00    3.00     8   1996.00      0.00 2069392  174872   0.54  python3

