Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:39 PM  1002     17388   38.00    2.00    0.00    0.00   40.00     8  12176.00      0.00 9182948  811564   2.50  python3
12:55:39 PM  1002     19073    1.00    1.00    0.00    0.00    2.00     6      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:40 PM  1002     17388   40.00    0.00    0.00    0.00   40.00     8  13196.00      0.00 9182948  811696   2.50  python3
12:55:40 PM  1002     19073    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:41 PM  1002     17388   38.00    4.00    0.00    0.00   42.00     8  13196.00      0.00 9182948  811828   2.50  python3
12:55:41 PM  1002     19073    2.00    0.00    0.00    0.00    2.00     8      1.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:42 PM  1002     17388   45.00    2.00    0.00    0.00   47.00     8  13196.00      0.00 9182948  811696   2.50  python3
12:55:42 PM  1002     19073    2.00    1.00    0.00    0.00    3.00     8      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:43 PM  1002     17388   45.00    4.00    0.00    0.00   49.00    10  13196.00      0.00 9182948  811564   2.50  python3
12:55:43 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    12      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:44 PM  1002     17388   43.00    6.00    0.00    0.00   49.00     8  13197.00      0.00 9182948  811432   2.50  python3
12:55:44 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    12      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:45 PM  1002     17388   46.00    1.00    0.00    0.00   47.00    10  13196.00      0.00 9182948  811568   2.50  python3
12:55:45 PM  1002     19073    2.00    0.00    0.00    0.00    2.00    14      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:46 PM  1002     17388   57.00    0.00    0.00    0.00   57.00    10  14656.00      0.00 9182948  811752   2.50  python3
12:55:46 PM  1002     19073    2.00    2.00    0.00    0.00    4.00    17      1.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:47 PM  1002     17388   40.00    3.00    0.00    0.00   43.00    10  13196.00      0.00 9182948  811620   2.50  python3
