Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:55 AM  1002    108250   58.00    0.00    0.00    0.00   58.00    10  14726.00      0.00 9174248  803176   2.47  python3
02:31:55 AM  1002    109461    3.00    0.00    0.00    0.00    3.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:56 AM  1002    108250   53.00    6.00    0.00    0.00   59.00    10  17244.00      0.00 9174248  803080   2.47  python3
02:31:56 AM  1002    109461    1.00    1.00    0.00    0.00    2.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:57 AM  1002    108250   45.00    1.00    0.00    0.00   46.00    10  14727.00      0.00 9174248  803208   2.47  python3
02:31:57 AM  1002    109461    1.00    1.00    0.00    0.00    2.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:58 AM  1002    108250   52.00    3.00    0.00    0.00   55.00    10  17244.00      0.00 9174248  802848   2.47  python3
02:31:58 AM  1002    109461    2.00    1.00    0.00    0.00    3.00     4      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:59 AM  1002    108250   51.00    2.00    0.00    0.00   53.00     8  14726.00      0.00 9174248  802708   2.47  python3
