Linux 5.15.0-186-generic (lenovo) 	08/05/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:55:02 PM  1002     39945   76.00    0.00    0.00    0.00   76.00     8  13196.00      0.00 9180404  809156   2.49  python3
11:55:02 PM  1002     40193    1.00    2.00    0.00    0.00    3.00     2      2.00      0.00 2072024  169816   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:55:03 PM  1002     39945   40.00    2.00    0.00    0.00   42.00     8  13198.00      0.00 9180404  809016   2.49  python3
11:55:03 PM  1002     40193    2.00    1.00    0.00    0.00    3.00     6      5.00      0.00 2072024  169816   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:55:04 PM  1002     39945   48.00    0.00    0.00    0.00   48.00    10  13578.00      0.00 9204372  832948   2.56  python3
11:55:04 PM  1002     40193    1.00    1.00    0.00    0.00    2.00    21      1.00      0.00 2072024  169816   0.52  python3
