Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:07 PM  1002     10730   48.00    1.00    0.00    0.00   49.00    10  10991.00      0.00 9172940  802872   2.47  python3
12:46:07 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    21   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:08 PM  1002     10730   42.00    0.00    0.00    0.00   42.00    10  14726.00      0.00 9172940  802972   2.47  python3
12:46:08 PM  1002     13145    2.00    0.00    0.00    0.00    2.00    18   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:09 PM  1002     10730   44.00    7.00    0.00    0.00   51.00    12  14726.00      0.00 9179060  808664   2.49  python3
12:46:09 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     8   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:10 PM  1002     10730   35.00    4.00    0.00    0.00   39.00    12  17244.00      0.00 9172940  802336   2.47  python3
12:46:10 PM  1002     13145    3.00    1.00    0.00    0.00    4.00     8   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:11 PM  1002     10730   52.00    1.00    0.00    0.00   53.00    12  14726.00      0.00 9172940  802436   2.47  python3
12:46:11 PM  1002     13145    0.00    1.00    0.00    0.00    1.00     0   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:12 PM  1002     10730   48.00    0.00    0.00    0.00   48.00    12  14726.00      0.00 9172940  802536   2.47  python3
12:46:12 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     0   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:13 PM  1002     10730   47.00    1.00    0.00    0.00   48.00    12  14727.00      0.00 9172940  802372   2.47  python3
12:46:13 PM  1002     13145    1.00    1.00    0.00    0.00    2.00     0   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:14 PM  1002     10730   74.00    5.00    0.00    0.00   79.00    12  14726.00      0.00 9172940  802476   2.47  python3
12:46:14 PM  1002     13145    3.00    1.00    0.00    0.00    4.00     0   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:15 PM  1002     10730   38.00    3.00    0.00    0.00   41.00    12  14726.00      0.00 9172940  802576   2.47  python3
