elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
0.142651,2026-09-01T20:06:45.243885+00:00,1788293205.243884563,,1788293206.223319054,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,
0.245627,2026-09-01T20:06:45.346861+00:00,1788293205.346861124,,1788293206.320254087,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,102.975
0.346596,2026-09-01T20:06:45.447830+00:00,1788293205.447830200,,1788293206.320254087,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,100.967
0.440579,2026-09-01T20:06:45.541813+00:00,1788293205.541812897,,1788293206.516122103,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,93.978
0.536050,2026-09-01T20:06:45.637285+00:00,1788293205.637284517,,1788293206.516122103,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,95.477
0.625033,2026-09-01T20:06:45.726267+00:00,1788293205.726266623,,1788293206.516122103,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,88.977
0.741994,2026-09-01T20:06:45.843228+00:00,1788293205.843227625,,1788293206.798932076,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,116.961
0.851693,2026-09-01T20:06:45.952927+00:00,1788293205.952926636,,1788293206.859890938,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,109.703
0.960570,2026-09-01T20:06:46.061804+00:00,1788293206.061803579,,1788293206.993801117,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,108.875
1.047269,2026-09-01T20:06:46.148503+00:00,1788293206.148503065,,1788293207.118716955,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,86.702
1.142024,2026-09-01T20:06:46.243258+00:00,1788293206.243257999,,1788293207.167684078,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,94.754
1.252015,2026-09-01T20:06:46.353249+00:00,1788293206.353248596,,1788293207.286603928,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,109.985
1.359288,2026-09-01T20:06:46.460522+00:00,1788293206.460522175,,1788293207.371546984,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,107.281
1.470709,2026-09-01T20:06:46.571943+00:00,1788293206.571942568,,1788293207.445497036,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,111.412
1.558199,2026-09-01T20:06:46.659433+00:00,1788293206.659432650,,1788293207.591398954,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,87.495
1.653123,2026-09-01T20:06:46.754358+00:00,1788293206.754357576,,1788293207.591398954,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,94.923
1.751048,2026-09-01T20:06:46.852282+00:00,1788293206.852282286,,1788293207.774276018,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,97.930
1.869149,2026-09-01T20:06:46.970383+00:00,1788293206.970382690,,1788293207.896193981,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,118.098
1.978151,2026-09-01T20:06:47.079385+00:00,1788293207.079385042,,1788293207.933168888,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,109.005
2.064426,2026-09-01T20:06:47.165660+00:00,1788293207.165659666,,1788293208.054088116,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,86.272
2.166301,2026-09-01T20:06:47.267535+00:00,1788293207.267534733,,1788293208.164014101,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,101.874
2.275252,2026-09-01T20:06:47.376486+00:00,1788293207.376485586,,1788293208.318909883,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,108.951
2.391187,2026-09-01T20:06:47.492421+00:00,1788293207.492420673,,1788293208.318909883,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,115.937
2.507977,2026-09-01T20:06:47.609211+00:00,1788293207.609210730,,1788293208.318909883,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,116.787
2.592212,2026-09-01T20:06:47.693446+00:00,1788293207.693446159,,1788293208.318909883,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,84.237
2.685205,2026-09-01T20:06:47.786439+00:00,1788293207.786439180,,1788293208.709646940,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,92.990
2.791797,2026-09-01T20:06:47.893030+00:00,1788293207.893030167,,1788293208.769606113,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,106.597
2.916636,2026-09-01T20:06:48.017871+00:00,1788293208.017870903,,1788293208.917506933,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,124.840
