elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,local_x_east_m,local_y_north_m,local_z_up_m,roll_deg,pitch_deg,yaw_enu_deg,heading_deg,qx,qy,qz,qw,vx_east_mps,vy_north_mps,vz_up_mps,ground_speed_mps,vertical_speed_up_mps,relative_altitude_m,armed,flight_mode,flying
0.332167,2026-09-01T20:06:45.433402+00:00,1788293205.433401585,1788293206.424184084,1788293206.320254087,0.000000000,0.000000000,-0.000000000,0.096086,-0.045110,-89.439309,179.439309,-0.000318813,0.000869724,0.703637958,-0.710558057,,,,,,0.002000000,False,,False
0.600038,2026-09-01T20:06:45.701272+00:00,1788293205.701272249,1788293206.704994917,1788293206.516122103,0.000000000,0.000000000,-0.000000000,0.097172,-0.045618,-89.444762,179.444762,-0.000322385,0.000879560,0.703671753,-0.710524619,-0.020987127,0.021485474,0.000912581,0.030034731,0.000912581,0.002000000,False,STABILIZE,False
0.762811,2026-09-01T20:06:45.864046+00:00,1788293205.864046335,1788293206.844901085,1788293206.798932076,0.000000000,0.000000000,-0.000000000,0.097637,-0.046116,-89.446955,179.446955,-0.000322195,0.000885504,0.703685343,-0.710511029,-0.021351745,0.021897774,0.000813718,0.030584466,0.000813718,0.002000000,False,STABILIZE,False
0.818852,2026-09-01T20:06:45.920086+00:00,1788293205.920085907,1788293206.881875992,1788293206.859890938,0.000000000,0.000000000,-0.000000000,0.097612,-0.046123,-89.448137,179.448137,-0.000321988,0.000885399,0.703692675,-0.710503817,-0.021610297,0.022084173,0.000775583,0.030898473,0.000775583,0.002000000,False,STABILIZE,False
0.884924,2026-09-01T20:06:45.986159+00:00,1788293205.986158848,1788293206.954827070,1788293206.859890938,0.000000000,0.000000000,-0.000000000,0.097854,-0.046307,-89.449186,179.449186,-0.000322347,0.000888032,0.703699172,-0.710497439,-0.021615235,0.022068480,0.000770696,0.030890714,0.000770696,0.001000000,False,STABILIZE,False
1.152619,2026-09-01T20:06:46.253853+00:00,1788293206.253853083,1788293207.236637115,1788293207.167684078,0.000000000,0.000000000,-0.000000000,0.098973,-0.047278,-89.454802,179.454802,-0.000323282,0.000900938,0.703733981,-0.710462868,-0.021675106,0.022221848,0.000769035,0.031042242,0.000769035,0.001000000,False,STABILIZE,False
1.342337,2026-09-01T20:06:46.443571+00:00,1788293206.443570852,1788293207.411520004,1788293207.371546984,0.000000000,0.000000000,-0.000000000,0.099469,-0.047817,-89.458265,179.458265,-0.000323019,0.000907339,0.703755438,-0.710441649,-0.021946847,0.022626856,0.000650794,0.031522036,0.000650794,0.001000000,False,STABILIZE,False
1.378247,2026-09-01T20:06:46.479482+00:00,1788293206.479482174,1788293207.445497036,1788293207.371546984,0.000000000,0.000000000,-0.000000000,0.099655,-0.047979,-89.458429,179.458429,-0.000323182,0.000909482,0.703756452,-0.710440636,-0.022212267,0.022936862,0.000578673,0.031929366,0.000578673,0.001000000,False,STABILIZE,False
1.765632,2026-09-01T20:06:46.866867+00:00,1788293206.866866827,1788293207.829238892,1788293207.774276018,0.000000000,0.000000000,-0.000000000,0.101214,-0.048734,-89.466056,179.466056,-0.000328143,0.000923761,0.703803718,-0.710393846,-0.022214849,0.022960389,0.000543403,0.031948067,0.000543403,0.001000000,False,STABILIZE,False
2.149286,2026-09-01T20:06:47.250520+00:00,1788293207.250519514,1788293208.215979099,1788293208.164014101,0.000000000,0.000000000,-0.000000000,0.102915,-0.049936,-89.473367,179.473367,-0.000331247,0.000941678,0.703849018,-0.710348785,-0.022829967,0.023600942,0.000371776,0.032836136,0.000371776,0.001000000,False,STABILIZE,False
