metric,value,unit
mean_abs_heading_error_deg,6.1646424,deg
median_abs_heading_error_deg,4.70835589,deg
p95_abs_heading_error_deg,15.1305804,deg
max_abs_heading_error_deg,17.4019435,deg
signed_mean_circular_heading_error_deg,-0.864156403,deg
comparison_duration_s,88.801884,s
