time_s,event
0.000182,"{""epoch"": 1, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 0, ""old_primary"": 0, ""reason"": ""initial_election""}"
0.000199,"{""epoch"": 2, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000213,"{""epoch"": 3, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000229,"{""epoch"": 4, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000239,"{""epoch"": 5, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000247,"{""epoch"": 6, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000255,"{""epoch"": 7, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000262,"{""epoch"": 8, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
0.000273,"{""epoch"": 9, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
2.164158,"{""epoch"": 10, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
28.164233,"{""epoch"": 11, ""new_backup"": 2, ""new_primary"": 1, ""old_backup"": 3, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
36.164333,"{""epoch"": 12, ""new_backup"": 3, ""new_primary"": 1, ""old_backup"": 2, ""old_primary"": 1, ""reason"": ""backup_reselected""}"
