elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
14.031705,2026-09-01T20:52:45.695890+00:00,1788295965.695890188,,1788295964.724646091,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,533.262
14.536497,2026-09-01T20:52:46.200682+00:00,1788295966.200682402,,1788295965.128509998,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,504.798
15.069181,2026-09-01T20:52:46.733367+00:00,1788295966.733367205,,1788295965.724309921,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,532.683
15.593675,2026-09-01T20:52:47.257860+00:00,1788295967.257859945,,1788295966.176157951,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,524.494
16.119893,2026-09-01T20:52:47.784079+00:00,1788295967.784079313,,1788295966.700982094,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,526.209
16.593686,2026-09-01T20:52:48.257871+00:00,1788295968.257871389,,1788295967.190817118,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,473.799
17.133832,2026-09-01T20:52:48.798018+00:00,1788295968.798017502,,1788295967.741631985,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,540.144
17.661460,2026-09-01T20:52:49.325646+00:00,1788295969.325646162,,1788295968.243463039,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,527.631
18.164276,2026-09-01T20:52:49.828462+00:00,1788295969.828461885,,1788295968.721302986,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,502.818
18.670679,2026-09-01T20:52:50.334865+00:00,1788295970.334865332,,1788295969.160155058,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,506.396
