session,rng_run,expected_mode,observed_mode,run_id,execution_order,is_primary,metrics_csv,metadata_file,detector_log,metrics_log,relay_log,resource_file,selection_verification,notes
1,1,edge,edge,f_edge_01_final_v4,1,true,raw_links/rng_1/edge/metrics_uav1_edge_f_edge_01_final_v4_20260806_023557.csv,raw_links/rng_1/edge/metadata_f_edge_01_final_v4.txt,raw_links/rng_1/edge/detector_f_edge_01_final_v4.log,raw_links/rng_1/edge/metrics_f_edge_01_final_v4.log,raw_links/rng_1/edge/relay_f_edge_01_final_v4.log,raw_links/rng_1/edge/resources_f_edge_01_final_v4.txt,verified,Expected and observed provenance agree
1,1,ground,edge,f_ground_q5_01_final_v7,2,true,raw_links/rng_1/ground/metrics_uav1_edge_f_ground_q5_01_final_v7_20260806_024133.csv,raw_links/rng_1/ground/metadata_f_ground_q5_01_final_v7.txt,raw_links/rng_1/ground/detector_f_ground_q5_01_final_v7.log,raw_links/rng_1/ground/metrics_f_ground_q5_01_final_v7.log,raw_links/rng_1/ground/relay_f_ground_q5_01_final_v7.log,raw_links/rng_1/ground/resources_f_ground_q5_01_final_v7.txt,provenance_failure,Requested as ground but metadata and node logs record edge
2,2,ground,ground,f_ground_q5_02_final_v3,1,true,raw_links/rng_2/ground/metrics_uav1_ground_f_ground_q5_02_final_v3_20260806_021243.csv,,raw_links/rng_2/ground/detector_f_ground_q5_02_final_v3.log,raw_links/rng_2/ground/metrics_f_ground_q5_02_final_v3.log,raw_links/rng_2/ground/relay_f_ground_q5_02_final_v3.log,,provenance_failure,Metadata and resource-monitoring artifacts are missing; official boundaries cannot be established
2,2,edge,ground,f_edge_02_final_v2,2,true,raw_links/rng_2/edge/metrics_uav1_ground_f_edge_02_final_v2_20260806_021608.csv,raw_links/rng_2/edge/metadata_f_edge_02_final_v2.txt,raw_links/rng_2/edge/detector_f_edge_02_final_v2.log,raw_links/rng_2/edge/metrics_f_edge_02_final_v2.log,raw_links/rng_2/edge/relay_f_edge_02_final_v2.log,raw_links/rng_2/edge/resources_f_edge_02_final_v2.txt,provenance_failure,Requested as edge but metadata and node logs record ground
3,3,edge,ground,f_edge_03_final_v2,1,true,raw_links/rng_3/edge/metrics_uav1_ground_f_edge_03_final_v2_20260806_022210.csv,raw_links/rng_3/edge/metadata_f_edge_03_final_v2.txt,raw_links/rng_3/edge/detector_f_edge_03_final_v2.log,raw_links/rng_3/edge/metrics_f_edge_03_final_v2.log,raw_links/rng_3/edge/relay_f_edge_03_final_v2.log,raw_links/rng_3/edge/resources_f_edge_03_final_v2.txt,provenance_failure,Requested as edge but metadata and node logs record ground
3,3,ground,edge,f_ground_q5_03_final_v3,2,true,raw_links/rng_3/ground/metrics_uav1_edge_f_ground_q5_03_final_v3_20260806_023053.csv,raw_links/rng_3/ground/metadata_f_ground_q5_03_final_v3.txt,raw_links/rng_3/ground/detector_f_ground_q5_03_final_v3.log,raw_links/rng_3/ground/metrics_f_ground_q5_03_final_v3.log,raw_links/rng_3/ground/relay_f_ground_q5_03_final_v3.log,raw_links/rng_3/ground/resources_f_ground_q5_03_final_v3.txt,provenance_failure,Requested as ground but metadata and node logs record edge
