interface,rx_bytes,rx_packets,rx_errors,rx_dropped,tx_bytes,tx_packets,tx_errors,tx_dropped
tap-uav1,439535,4295,0,0,1323376,5057,0,0
tap-gcs,1173038,4312,0,0,472668,4452,0,0
