run_id,rng_run,mode,frame_rate_hz,sequence_id,frame_admission_time,publish_time,frame_size_bytes,detector_callback_received,callback_time,relay_to_detector_callback_ms,decode_success,jpeg_encode_ms,jpeg_decode_ms,inference_completed,inference_completion_time,inference_ms,result_published,relay_to_inference_completion_ms,ground_result_receipt_time,pipeline_latency_ms
rate_ground_1hz_rng2,2,ground,1,20,1787839035.8397517,1787839035.8480504,19908,False,,,False,2.2864341735839844,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,21,1787839036.83967,1787839036.8483546,19950,False,,,False,2.1181106567382812,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,22,1787839037.8395903,1787839037.8489053,19958,False,,,False,2.9561519622802734,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,23,1787839038.8396273,1787839038.8465276,19926,False,,,False,1.9392967224121094,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,24,1787839039.839587,1787839039.8504286,19911,False,,,False,3.4682750701904297,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,25,1787839040.839595,1787839040.8470578,19870,False,,,False,2.0673274993896484,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,26,1787839041.8395643,1787839041.8501608,19890,False,,,False,3.3617019653320312,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,27,1787839042.8396077,1787839042.8475974,19993,False,,,False,2.153635025024414,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,28,1787839043.8396766,1787839043.8471768,19962,False,,,False,1.9907951354980469,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,29,1787839044.8396122,1787839044.8471482,19946,False,,,False,2.075672149658203,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,30,1787839045.8396232,1787839045.851268,19925,False,,,False,3.6792755126953125,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,31,1787839046.839539,1787839046.8459582,19884,False,,,False,2.0868778228759766,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,32,1787839047.8395412,1787839047.8485358,19939,False,,,False,3.272533416748047,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,33,1787839048.8395936,1787839048.8518791,19961,False,,,False,3.743886947631836,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,34,1787839049.8395345,1787839049.8479457,19874,False,,,False,2.885580062866211,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,35,1787839050.8395834,1787839050.8474581,19878,False,,,False,2.0995140075683594,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,36,1787839051.8395545,1787839051.8497806,19998,False,,,False,3.5064220428466797,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,37,1787839052.8395488,1787839052.8461037,19937,False,,,False,1.9373893737792969,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,38,1787839053.839536,1787839053.8502593,19967,True,1787839054.3212256,481.6896915435791,True,3.386259078979492,3.940105438232422,True,1787839055.1942368,868.7527179718018,True,1354.7008037567139,1787839055.19452,1354.9840450286865
rate_ground_1hz_rng2,2,ground,1,39,1787839054.839596,1787839054.8459864,19908,True,1787839055.2998009,460.2048397064209,True,1.9364356994628906,2.7539730072021484,True,1787839055.375085,72.18289375305176,True,535.4890823364258,1787839055.3753345,535.738468170166
rate_ground_1hz_rng2,2,ground,1,40,1787839055.8395472,1787839055.8489969,19880,True,1787839056.3355353,495.988130569458,True,3.484487533569336,1.7669200897216797,True,1787839056.3875988,50.01521110534668,True,548.0515956878662,1787839056.3878472,548.30002784729
rate_ground_1hz_rng2,2,ground,1,41,1787839056.839736,1787839056.850112,19909,True,1787839057.3359737,496.23775482177734,True,2.5162696838378906,3.011941909790039,True,1787839057.4210722,81.62450790405273,True,581.336259841919,1787839057.42142,581.6841125488281
rate_ground_1hz_rng2,2,ground,1,42,1787839057.8395095,1787839057.8495007,19902,True,1787839058.3163526,476.84311866760254,True,3.5576820373535156,1.4333724975585938,True,1787839058.355793,37.740230560302734,True,516.2835121154785,1787839058.356029,516.5195465087891
rate_ground_1hz_rng2,2,ground,1,43,1787839058.8396971,1787839058.847936,19884,True,1787839059.3149898,475.2926826477051,True,1.9731521606445312,2.2983551025390625,True,1787839059.37308,55.457115173339844,True,533.3828926086426,1787839059.3733292,533.6320400238037
rate_ground_1hz_rng2,2,ground,1,44,1787839059.839658,1787839059.851646,19937,True,1787839060.3457572,506.0992240905762,True,3.858327865600586,1.9414424896240234,True,1787839060.4003165,52.332401275634766,True,560.6584548950195,1787839060.4005506,560.8925819396973
rate_ground_1hz_rng2,2,ground,1,45,1787839060.83962,1787839060.847184,19946,True,1787839061.2939408,454.32066917419434,True,1.9426345825195312,1.7611980438232422,True,1787839061.33489,38.941383361816406,True,495.269775390625,1787839061.3351412,495.52106857299805
rate_ground_1hz_rng2,2,ground,1,46,1787839061.8395622,1787839061.845813,19965,True,1787839062.3200629,480.5006980895996,True,1.9087791442871094,2.7277469635009766,True,1787839062.3774505,54.33487892150879,True,537.8882884979248,1787839062.377693,538.1307601928711
rate_ground_1hz_rng2,2,ground,1,47,1787839062.8397362,1787839062.8488874,19921,True,1787839063.2542272,414.4909381866455,True,2.2728443145751953,1.767873764038086,True,1787839063.2926438,36.3459587097168,True,452.9075622558594,1787839063.2928832,453.14693450927734
rate_ground_1hz_rng2,2,ground,1,48,1787839063.8395545,1787839063.8461466,19906,True,1787839064.2569196,417.36507415771484,True,1.9762516021728516,1.844167709350586,True,1787839064.3105469,51.48792266845703,True,470.9923267364502,1787839064.3107884,471.2338447570801
rate_ground_1hz_rng2,2,ground,1,49,1787839064.8395271,1787839064.8471184,19907,True,1787839065.2959642,456.4371109008789,True,2.0492076873779297,1.9521713256835938,True,1787839065.3773494,79.13637161254883,True,537.8222465515137,1787839065.3776245,538.0973815917969
rate_ground_1hz_rng2,2,ground,1,50,1787839065.8395567,1787839065.8501232,19931,True,1787839066.3092728,469.71607208251953,True,3.8406848907470703,3.16619873046875,True,1787839066.3664231,53.62200736999512,True,526.8664360046387,1787839066.3666658,527.1091461181641
rate_ground_1hz_rng2,2,ground,1,51,1787839066.839719,1787839066.8493242,19888,True,1787839067.3215375,481.81843757629395,True,2.1805763244628906,2.269744873046875,True,1787839067.370519,46.370506286621094,True,530.7998657226562,1787839067.3707848,531.0657024383545
rate_ground_1hz_rng2,2,ground,1,52,1787839067.8398216,1787839067.848136,19904,True,1787839068.3345568,494.7352409362793,True,2.60162353515625,1.5287399291992188,True,1787839068.3775141,41.12863540649414,True,537.6925468444824,1787839068.3778367,538.0151271820068
rate_ground_1hz_rng2,2,ground,1,53,1787839068.8396585,1787839068.8467453,19907,True,1787839069.2156913,376.03282928466797,True,1.9440650939941406,1.5099048614501953,True,1787839069.3011804,83.70518684387207,True,461.52186393737793,1787839069.3014674,461.8089199066162
rate_ground_1hz_rng2,2,ground,1,54,1787839069.8394961,1787839069.8483164,19893,True,1787839070.2076204,368.12424659729004,True,3.0786991119384766,1.8620491027832031,True,1787839070.2733397,63.49682807922363,True,433.84361267089844,1787839070.2735727,434.07654762268066
rate_ground_1hz_rng2,2,ground,1,55,1787839070.839628,1787839070.8473084,19902,True,1787839071.3486404,509.01246070861816,True,2.056598663330078,3.2281875610351562,True,1787839071.429759,77.35753059387207,True,590.1310443878174,1787839071.4301083,590.4803276062012
rate_ground_1hz_rng2,2,ground,1,56,1787839071.8405175,1787839071.8473313,19927,True,1787839072.285804,445.28651237487793,True,1.9233226776123047,1.531362533569336,True,1787839072.3498738,62.28280067443848,True,509.3562602996826,1787839072.3502247,509.7072124481201
rate_ground_1hz_rng2,2,ground,1,57,1787839072.8395877,1787839072.8475215,19942,True,1787839073.312762,473.1743335723877,True,2.05230712890625,1.7898082733154297,True,1787839073.3717074,56.86330795288086,True,532.1197509765625,1787839073.371933,532.3452949523926
rate_ground_1hz_rng2,2,ground,1,58,1787839073.839533,1787839073.8467422,19958,True,1787839074.3118536,472.320556640625,True,2.293825149536133,4.211664199829102,True,1787839074.4038596,87.43929862976074,True,564.3265247344971,1787839074.4040937,564.5606517791748
rate_ground_1hz_rng2,2,ground,1,59,1787839074.8395715,1787839074.8466516,19958,True,1787839075.311196,471.62461280822754,True,1.9364356994628906,2.1805763244628906,True,1787839075.389844,76.1258602142334,True,550.2724647521973,1787839075.3900688,550.49729347229
rate_ground_1hz_rng2,2,ground,1,60,1787839075.8396375,1787839075.8469079,19927,True,1787839076.3109696,471.3320732116699,True,2.3708343505859375,2.772808074951172,True,1787839076.3670642,52.96516418457031,True,527.4267196655273,1787839076.3673093,527.6718139648438
rate_ground_1hz_rng2,2,ground,1,61,1787839076.839602,1787839076.8484368,19905,True,1787839077.3392022,499.6001720428467,True,2.2094249725341797,2.481698989868164,True,1787839077.3917294,49.675941467285156,True,552.1273612976074,1787839077.392058,552.4559020996094
rate_ground_1hz_rng2,2,ground,1,62,1787839077.8395998,1787839077.8488853,19918,True,1787839078.2449985,405.3986072540283,True,3.0455589294433594,2.3336410522460938,True,1787839078.3090086,61.32817268371582,True,469.4087505340576,1787839078.3092475,469.6476459503174
