interface,rx_bytes,rx_packets,rx_errors,rx_dropped,tx_bytes,tx_packets,tx_errors,tx_dropped
tap-uav1,389559,4015,0,0,1277844,4452,0,0
tap-gcs,1227890,4167,0,0,385936,3988,0,0
