run_id,rng_run,mode,frame_rate_hz,sequence_id,frame_admission_time,publish_time,frame_size_bytes,detector_callback_received,callback_time,relay_to_detector_callback_ms,decode_success,jpeg_encode_ms,jpeg_decode_ms,inference_completed,inference_completion_time,inference_ms,result_published,relay_to_inference_completion_ms,ground_result_receipt_time,pipeline_latency_ms
rate_edge_1hz_rng2,2,edge,1,84,1787839790.916548,1787839790.916548,2764800,True,1787839790.9191997,2.651691436767578,,,,True,1787839791.005093,81.3748836517334,True,88.54508399963379,1787839791.4719336,555.3855895996094
rate_edge_1hz_rng2,2,edge,1,85,1787839791.9164484,1787839791.9164484,2764800,True,1787839791.9283233,11.874914169311523,,,,True,1787839792.0111473,79.1165828704834,True,94.69890594482422,1787839792.461293,544.8446273803711
rate_edge_1hz_rng2,2,edge,1,86,1787839792.9165878,1787839792.9165878,2764800,True,1787839792.9205065,3.9186477661132812,,,,True,1787839793.009334,85.0379467010498,True,92.74625778198242,1787839793.489715,573.127269744873
rate_edge_1hz_rng2,2,edge,1,87,1787839793.9163914,1787839793.9163914,2764800,True,1787839793.9284918,12.100458145141602,,,,True,1787839793.9894006,55.89604377746582,True,73.00925254821777,1787839794.4579449,541.5534973144531
rate_edge_1hz_rng2,2,edge,1,88,1787839794.9164398,1787839794.9164398,2764800,True,1787839794.918754,2.314329147338867,,,,True,1787839794.9807608,56.84185028076172,True,64.32104110717773,1787839795.4580357,541.5959358215332
rate_edge_1hz_rng2,2,edge,1,89,1787839795.9165275,1787839795.9165275,2764800,True,1787839795.919609,3.0815601348876953,,,,True,1787839795.9918687,67.53373146057129,True,75.34122467041016,1787839796.4905524,574.0249156951904
rate_edge_1hz_rng2,2,edge,1,90,1787839796.9164026,1787839796.9164026,2764800,True,1787839796.939677,23.27442169189453,,,,True,1787839796.9866457,41.74995422363281,True,70.24312019348145,1787839797.459384,542.9813861846924
rate_edge_1hz_rng2,2,edge,1,91,1787839797.9164357,1787839797.9164357,2764800,True,1787839797.9386842,22.248506546020508,,,,True,1787839798.0126836,70.03378868103027,True,96.24791145324707,1787839798.4662392,549.8034954071045
rate_edge_1hz_rng2,2,edge,1,92,1787839798.9164462,1787839798.9164462,2764800,True,1787839798.9186914,2.245187759399414,,,,True,1787839798.9659767,43.0150032043457,True,49.5305061340332,1787839799.4597366,543.290376663208
rate_edge_1hz_rng2,2,edge,1,93,1787839799.9163737,1787839799.9163737,2764800,True,1787839799.9195125,3.1387805938720703,,,,True,1787839799.9866958,59.461355209350586,True,70.32203674316406,1787839800.460209,543.8351631164551
rate_edge_1hz_rng2,2,edge,1,94,1787839800.9164662,1787839800.9164662,2764800,True,1787839800.9192493,2.783060073852539,,,,True,1787839800.969789,45.27926445007324,True,53.322792053222656,1787839801.4618967,545.4304218292236
rate_edge_1hz_rng2,2,edge,1,95,1787839801.9164453,1787839801.9164453,2764800,True,1787839801.928836,12.390851974487305,,,,True,1787839801.9922035,58.652639389038086,True,75.75821876525879,1787839802.4889069,572.4616050720215
rate_edge_1hz_rng2,2,edge,1,96,1787839802.9165156,1787839802.9165156,2764800,True,1787839802.9286938,12.178182601928711,,,,True,1787839803.0243545,90.30318260192871,True,107.83886909484863,1787839803.4649377,548.42209815979
rate_edge_1hz_rng2,2,edge,1,97,1787839803.9165707,1787839803.9165707,2764800,True,1787839803.9202843,3.7136077880859375,,,,True,1787839803.9797175,54.12459373474121,True,63.14682960510254,1787839804.4624953,545.9246635437012
rate_edge_1hz_rng2,2,edge,1,98,1787839804.9164274,1787839804.9164274,2764800,True,1787839804.9188483,2.4209022521972656,,,,True,1787839804.9996262,76.17044448852539,True,83.19878578186035,1787839805.4891458,572.7183818817139
rate_edge_1hz_rng2,2,edge,1,99,1787839805.9163964,1787839805.9163964,2764800,True,1787839805.9285967,12.200355529785156,,,,True,1787839805.989938,56.842803955078125,True,73.54164123535156,1787839806.46469,548.2935905456543
rate_edge_1hz_rng2,2,edge,1,100,1787839806.9164224,1787839806.9164224,2764800,True,1787839806.928833,12.410640716552734,,,,True,1787839807.0053422,71.3815689086914,True,88.91987800598145,1787839807.467394,550.9717464447021
rate_edge_1hz_rng2,2,edge,1,101,1787839807.9163742,1787839807.9163742,2764800,True,1787839807.9388165,22.442340850830078,,,,True,1787839808.0183148,74.17917251586914,True,101.94063186645508,1787839808.4915016,575.127363204956
rate_edge_1hz_rng2,2,edge,1,102,1787839808.9163997,1787839808.9163997,2764800,True,1787839808.9284668,12.067079544067383,,,,True,1787839808.9942164,60.590267181396484,True,77.81672477722168,1787839809.4626312,546.2315082550049
rate_edge_1hz_rng2,2,edge,1,103,1787839809.9164138,1787839809.9164138,2764800,True,1787839809.9190164,2.6025772094726562,,,,True,1787839810.0076454,80.56020736694336,True,91.2315845489502,1787839810.470861,554.4471740722656
rate_edge_1hz_rng2,2,edge,1,104,1787839810.9164796,1787839810.9164796,2764800,True,1787839810.9194744,2.9947757720947266,,,,True,1787839810.9973695,72.19147682189941,True,80.88994026184082,1787839811.1742976,257.81798362731934
rate_edge_1hz_rng2,2,edge,1,105,1787839811.9165921,1787839811.9165921,2764800,True,1787839811.919807,3.2148361206054688,,,,True,1787839811.9936044,69.42296028137207,True,77.01230049133301,1787839812.073643,157.05084800720215
rate_edge_1hz_rng2,2,edge,1,106,1787839812.9164572,1787839812.9164572,2764800,True,1787839812.928651,12.193918228149414,,,,True,1787839813.0012085,65.57512283325195,True,84.75136756896973,1787839813.1120555,195.59836387634277
rate_edge_1hz_rng2,2,edge,1,107,1787839813.9164124,1787839813.9164124,2764800,True,1787839813.9288442,12.431859970092773,,,,True,1787839813.974722,40.471553802490234,True,58.30955505371094,1787839814.1625996,246.1872100830078
rate_edge_1hz_rng2,2,edge,1,108,1787839814.9164839,1787839814.9164839,2764800,True,1787839814.9190407,2.5568008422851562,,,,True,1787839814.9829705,56.58698081970215,True,66.48659706115723,1787839815.0583458,141.8619155883789
rate_edge_1hz_rng2,2,edge,1,109,1787839815.916399,1787839815.916399,2764800,True,1787839815.9184034,2.004384994506836,,,,True,1787839815.9612336,39.28065299987793,True,44.83461380004883,1787839816.0836418,167.24276542663574
rate_edge_1hz_rng2,2,edge,1,110,1787839816.9164288,1787839816.9164288,2764800,True,1787839816.9187758,2.3469924926757812,,,,True,1787839816.9615176,37.96219825744629,True,45.088768005371094,1787839817.0696218,153.19299697875977
rate_edge_1hz_rng2,2,edge,1,111,1787839817.9164743,1787839817.9164743,2764800,True,1787839817.9187312,2.2568702697753906,,,,True,1787839817.9760704,52.72221565246582,True,59.59606170654297,1787839818.0374274,120.95308303833008
rate_edge_1hz_rng2,2,edge,1,112,1787839818.9164405,1787839818.9164405,2764800,True,1787839818.9184575,2.0170211791992188,,,,True,1787839818.9739828,51.166534423828125,True,57.54232406616211,1787839819.0842166,167.77610778808594
rate_edge_1hz_rng2,2,edge,1,113,1787839819.9165847,1787839819.9165847,2764800,True,1787839819.9207532,4.168510437011719,,,,True,1787839819.9965646,68.3279037475586,True,79.97989654541016,1787839820.1417277,225.1429557800293
rate_edge_1hz_rng2,2,edge,1,114,1787839820.9164755,1787839820.9164755,2764800,True,1787839820.9193196,2.844095230102539,,,,True,1787839821.0018144,76.71928405761719,True,85.33883094787598,1787839821.047837,131.3614845275879
rate_edge_1hz_rng2,2,edge,1,115,1787839821.9164414,1787839821.9164414,2764800,True,1787839821.918696,2.254486083984375,,,,True,1787839821.985816,62.111616134643555,True,69.37456130981445,1787839822.0980594,181.61797523498535
rate_edge_1hz_rng2,2,edge,1,116,1787839822.9164762,1787839822.9164762,2764800,True,1787839822.9202511,3.774881362915039,,,,True,1787839822.9885778,59.94439125061035,True,72.10159301757812,1787839823.1175752,201.09891891479492
rate_edge_1hz_rng2,2,edge,1,117,1787839823.9165905,1787839823.9165905,2764800,True,1787839823.9194822,2.8917789459228516,,,,True,1787839823.9775777,53.84540557861328,True,60.987234115600586,1787839824.053413,136.82246208190918
rate_edge_1hz_rng2,2,edge,1,118,1787839824.916451,1787839824.916451,2764800,True,1787839824.9293356,12.88461685180664,,,,True,1787839825.0116026,75.2248764038086,True,95.15166282653809,1787839825.086613,170.16196250915527
rate_edge_1hz_rng2,2,edge,1,119,1787839825.9163938,1787839825.9163938,2764800,True,1787839825.9291499,12.756109237670898,,,,True,1787839825.9986925,64.14175033569336,True,82.29875564575195,1787839826.1045752,188.18140029907227
rate_edge_1hz_rng2,2,edge,1,120,1787839826.916469,1787839826.916469,2764800,True,1787839826.9202335,3.7643909454345703,,,,True,1787839826.9635706,38.286447525024414,True,47.101497650146484,1787839827.0540035,137.53437995910645
rate_edge_1hz_rng2,2,edge,1,121,1787839827.9163835,1787839827.9163835,2764800,True,1787839827.9385824,22.198915481567383,,,,True,1787839828.0188937,73.94909858703613,True,102.51021385192871,1787839828.1404083,224.02477264404297
rate_edge_1hz_rng2,2,edge,1,122,1787839828.9164906,1787839828.9164906,2764800,True,1787839828.9200728,3.5822391510009766,,,,True,1787839828.9673471,43.60032081604004,True,50.856590270996094,1787839829.1025872,186.0966682434082
rate_edge_1hz_rng2,2,edge,1,123,1787839829.9164426,1787839829.9164426,2764800,True,1787839829.9290376,12.594938278198242,,,,True,1787839829.9911745,56.63585662841797,True,74.73182678222656,1787839830.1012712,184.828519821167
rate_edge_1hz_rng2,2,edge,1,124,1787839830.9164784,1787839830.9164784,2764800,True,1787839830.929,12.521505355834961,,,,True,1787839831.017902,83.24480056762695,True,101.42350196838379,1787839831.0874197,170.94135284423828
rate_edge_1hz_rng2,2,edge,1,125,1787839831.9164205,1787839831.9164205,2764800,True,1787839831.9183595,1.9390583038330078,,,,True,1787839831.9767487,54.95429039001465,True,60.32824516296387,1787839832.1621583,245.73779106140137
rate_edge_1hz_rng2,2,edge,1,126,1787839832.9166124,1787839832.9166124,2764800,True,1787839832.929023,12.410640716552734,,,,True,1787839833.0303128,96.04549407958984,True,113.70038986206055,1787839833.049572,132.95960426330566
rate_edge_1hz_rng2,2,edge,1,127,1787839833.9164162,1787839833.9164162,2764800,True,1787839833.9183362,1.9199848175048828,,,,True,1787839834.0024056,80.25693893432617,True,85.98947525024414,1787839834.0726025,156.18634223937988
rate_edge_1hz_rng2,2,edge,1,128,1787839834.9164572,1787839834.9164572,2764800,True,1787839834.9204345,3.9772987365722656,,,,True,1787839834.9823596,56.191205978393555,True,65.9024715423584,1787839835.0226703,106.21309280395508
rate_edge_1hz_rng2,2,edge,1,129,1787839835.9164102,1787839835.9164102,2764800,True,1787839835.928419,12.008905410766602,,,,True,1787839835.9904149,58.07137489318848,True,74.0046501159668,1787839836.0389228,122.5125789642334
rate_edge_1hz_rng2,2,edge,1,130,1787839836.9164736,1787839836.9164736,2764800,True,1787839836.929139,12.665271759033203,,,,True,1787839837.0172012,82.39245414733887,True,100.72755813598633,1787839837.1133504,196.87676429748535
