interface,rx_bytes,rx_packets,rx_errors,rx_dropped,tx_bytes,tx_packets,tx_errors,tx_dropped
tap-uav1,305391,3211,0,0,2130067,4299,0,0
tap-gcs,1902432,3822,0,0,302298,3180,0,0
