interface,rx_bytes,rx_packets,rx_errors,rx_dropped,tx_bytes,tx_packets,tx_errors,tx_dropped
tap-uav1,538012,4492,0,0,1397916,5594,0,0
tap-gcs,1147521,4400,0,0,1262004,8323,0,0
