interface,rx_bytes,rx_packets,rx_errors,rx_dropped,tx_bytes,tx_packets,tx_errors,tx_dropped
tap-uav1,272938,2608,0,0,3386229,5113,0,0
tap-gcs,2530763,3690,0,0,271057,2592,0,0
