mode,frame_rate_hz,N_runs,source_run_ids,calculation,processed_frame_ratio_mean,processed_frame_ratio_sd,ground_result_delivery_ratio_mean,ground_result_delivery_ratio_sd,median_pipeline_latency_ms_mean,median_pipeline_latency_ms_sd,p95_pipeline_latency_ms_mean,p95_pipeline_latency_ms_sd,mean_inference_ms_mean,mean_inference_ms_sd,mean_combined_cpu_percent_mean,mean_combined_cpu_percent_sd,uav_tx_bitrate_mbps_mean,uav_tx_bitrate_mbps_sd,gcs_rx_bitrate_mbps_mean,gcs_rx_bitrate_mbps_sd,mean_jpeg_size_bytes_mean,mean_jpeg_size_bytes_sd
edge,1,3,rate_edge_1hz_rng1;rate_edge_1hz_rng2;rate_edge_1hz_rng3,run-level arithmetic mean and sample SD (n-1) across RNG1-3,1.000000000,0.000000000,0.950000000,0.086602540,252.979119619,90.643169525,1159.482264519,1022.036639420,60.035130713,3.519855206,62.638055556,3.189016325,0.212887156,0.073470501,0.152207111,0.005419807,,
edge,2,3,rate_edge_2hz_rng1;rate_edge_2hz_rng2;rate_edge_2hz_rng3,run-level arithmetic mean and sample SD (n-1) across RNG1-3,1.000000000,0.000000000,1.000000000,0.000000000,215.526580811,4.144938332,1432.413582007,882.261880649,56.039693620,0.877165791,115.937388889,1.901958613,0.183248089,0.011621313,0.161111733,0.007170178,,
ground,1,3,rate_ground_1hz_rng1;rate_ground_1hz_rng2;rate_ground_1hz_rng3,run-level arithmetic mean and sample SD (n-1) across RNG1-3,0.616666667,0.072648316,0.616666667,0.072648316,523.607730865,9.196360391,570.289317767,11.868441526,76.562928058,8.033761221,39.138611111,3.547800603,0.310593511,0.026718729,0.246376356,0.009552472,19902.988888889,36.863375129
ground,2,3,rate_ground_2hz_rng1;rate_ground_2hz_rng2;rate_ground_2hz_rng3,run-level arithmetic mean and sample SD (n-1) across RNG1-3,0.052777778,0.009622504,0.052777778,0.009622504,569.810072581,7.704706606,1156.182122231,54.786734586,186.066670645,24.429849729,13.416666667,1.260401171,0.429551644,0.019041564,0.340074800,0.006440948,19920.113888889,1.020666086
