time_s,metric,source,destination,value
0.000000,obstacle_loss_db,0,1,0.0
0.000000,obstacle_loss_db,0,2,0.0
0.000000,obstacle_loss_db,0,3,0.0
0.000000,obstacle_loss_db,1,2,0.0
0.000000,obstacle_loss_db,1,3,0.0
0.000000,obstacle_loss_db,2,3,0.0
0.039787,rssi_dbm,0,1,-46.09477615356445
0.039787,rssi_dbm,0,2,-48.065711975097656
0.039787,rssi_dbm,0,3,-46.01521301269531
0.039787,rssi_dbm,1,2,-39.22032165527344
0.039787,rssi_dbm,1,3,-36.8317985534668
0.039787,rssi_dbm,2,3,-36.37443923950195
0.039799,snr_db,0,1,47.90522384643555
0.039799,snr_db,0,2,45.934288024902344
0.039799,snr_db,0,3,47.98478698730469
0.039799,snr_db,1,2,54.77967834472656
0.039799,snr_db,1,3,57.1682014465332
0.039799,snr_db,2,3,57.62556076049805
0.101293,obstacle_loss_db,0,1,0.0
0.101293,obstacle_loss_db,0,2,0.0
0.101293,obstacle_loss_db,0,3,0.0
0.101293,obstacle_loss_db,1,2,0.0
0.101293,obstacle_loss_db,1,3,0.0
0.101293,obstacle_loss_db,2,3,0.0
0.197778,obstacle_loss_db,0,1,0.0
0.197778,obstacle_loss_db,0,2,0.0
0.197778,obstacle_loss_db,0,3,0.0
0.197778,obstacle_loss_db,1,2,0.0
0.197778,obstacle_loss_db,1,3,0.0
0.197778,obstacle_loss_db,2,3,0.0
0.301403,obstacle_loss_db,0,1,0.0
0.301403,obstacle_loss_db,0,2,0.0
0.301403,obstacle_loss_db,0,3,0.0
0.301403,obstacle_loss_db,1,2,0.0
0.301403,obstacle_loss_db,1,3,0.0
0.301403,obstacle_loss_db,2,3,0.0
0.397765,obstacle_loss_db,0,1,0.0
0.397765,obstacle_loss_db,0,2,0.0
0.397765,obstacle_loss_db,0,3,0.0
0.397765,obstacle_loss_db,1,2,0.0
0.397765,obstacle_loss_db,1,3,0.0
0.397765,obstacle_loss_db,2,3,0.0
0.501316,obstacle_loss_db,0,1,0.0
0.501316,obstacle_loss_db,0,2,0.0
0.501316,obstacle_loss_db,0,3,0.0
0.501316,obstacle_loss_db,1,2,0.0
0.501316,obstacle_loss_db,1,3,0.0
0.501316,obstacle_loss_db,2,3,0.0
0.539890,rssi_dbm,0,1,-49.61740493774414
0.539890,rssi_dbm,0,2,-45.34463882446289
0.539890,rssi_dbm,0,3,-50.00139617919922
0.539890,rssi_dbm,1,2,-38.60218811035156
0.539890,rssi_dbm,1,3,-40.857337951660156
0.539890,rssi_dbm,2,3,-40.59749221801758
0.539914,snr_db,0,1,44.38259506225586
0.539914,snr_db,0,2,48.65536117553711
0.539914,snr_db,0,3,43.99860382080078
0.539914,snr_db,1,2,55.39781188964844
0.539914,snr_db,1,3,53.142662048339844
0.539914,snr_db,2,3,53.40250778198242
0.597810,obstacle_loss_db,0,1,0.0
0.597810,obstacle_loss_db,0,2,0.0
0.597810,obstacle_loss_db,0,3,0.0
0.597810,obstacle_loss_db,1,2,0.0
0.597810,obstacle_loss_db,1,3,0.0
0.597810,obstacle_loss_db,2,3,0.0
0.701285,obstacle_loss_db,0,1,0.0
0.701285,obstacle_loss_db,0,2,0.0
0.701285,obstacle_loss_db,0,3,0.0
0.701285,obstacle_loss_db,1,2,0.0
0.701285,obstacle_loss_db,1,3,0.0
0.701285,obstacle_loss_db,2,3,0.0
0.797653,obstacle_loss_db,0,1,0.0
0.797653,obstacle_loss_db,0,2,0.0
0.797653,obstacle_loss_db,0,3,0.0
0.797653,obstacle_loss_db,1,2,0.0
0.797653,obstacle_loss_db,1,3,0.0
0.797653,obstacle_loss_db,2,3,0.0
0.901380,obstacle_loss_db,0,1,0.0
0.901380,obstacle_loss_db,0,2,0.0
0.901380,obstacle_loss_db,0,3,0.0
0.901380,obstacle_loss_db,1,2,0.0
0.901380,obstacle_loss_db,1,3,0.0
0.901380,obstacle_loss_db,2,3,0.0
0.998049,obstacle_loss_db,0,1,0.0
0.998049,obstacle_loss_db,0,2,0.0
0.998049,obstacle_loss_db,0,3,0.0
0.998049,obstacle_loss_db,1,2,0.0
0.998049,obstacle_loss_db,1,3,0.0
0.998049,obstacle_loss_db,2,3,0.0
1.046236,rssi_dbm,0,1,-48.78426742553711
