time_s,assignment
0.008706,"{""assignments"": [{""gcs_snr_db"": 54.85, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.9988, ""uav_id"": 1}, {""gcs_snr_db"": 47.89, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9992, ""uav_id"": 2}, {""gcs_snr_db"": 52.3, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9993, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 5, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008723,"{""assignments"": [{""gcs_snr_db"": 53.06, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9987, ""uav_id"": 1}, {""gcs_snr_db"": 52.21, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9979, ""uav_id"": 2}, {""gcs_snr_db"": 55.88, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9988, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 6, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008731,"{""assignments"": [{""gcs_snr_db"": 51.75, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9969, ""uav_id"": 1}, {""gcs_snr_db"": 51.03, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9955, ""uav_id"": 2}, {""gcs_snr_db"": 54.34, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9968, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 6, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008739,"{""assignments"": [{""gcs_snr_db"": 43.47, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9778, ""uav_id"": 1}, {""gcs_snr_db"": 48.81, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9583, ""uav_id"": 2}, {""gcs_snr_db"": 50.83, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9778, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 6, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008746,"{""assignments"": [{""gcs_snr_db"": 49.88, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9728, ""uav_id"": 1}, {""gcs_snr_db"": 50.33, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9577, ""uav_id"": 2}, {""gcs_snr_db"": 46.49, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9759, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 6, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008753,"{""assignments"": [{""gcs_snr_db"": 41.47, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.9551, ""uav_id"": 1}, {""gcs_snr_db"": 46.64, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.975, ""uav_id"": 2}, {""gcs_snr_db"": 49.47, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9756, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 7, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008761,"{""assignments"": [{""gcs_snr_db"": 51.47, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.9548, ""uav_id"": 1}, {""gcs_snr_db"": 49.9, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9752, ""uav_id"": 2}, {""gcs_snr_db"": 47.94, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9755, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 7, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008768,"{""assignments"": [{""gcs_snr_db"": 48.23, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9683, ""uav_id"": 1}, {""gcs_snr_db"": 51.49, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9675, ""uav_id"": 2}, {""gcs_snr_db"": 49.28, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9576, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 8, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008776,"{""assignments"": [{""gcs_snr_db"": 49.8, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9458, ""uav_id"": 1}, {""gcs_snr_db"": 51.26, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9364, ""uav_id"": 2}, {""gcs_snr_db"": 47.4, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9158, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 8, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.008784,"{""assignments"": [{""gcs_snr_db"": 41.42, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.937, ""uav_id"": 1}, {""gcs_snr_db"": 48.33, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9271, ""uav_id"": 2}, {""gcs_snr_db"": 50.52, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9019, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 8, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
