label,arrival_time_s,gap_from_prev_ms
c0_mission_baseline,1785873199.637193,823.11
c0_mission_baseline,1785873200.802442,1165.25
c0_mission_baseline,1785873200.996941,194.50
c0_mission_baseline,1785873201.197303,200.36
c0_mission_baseline,1785873201.358730,161.43
c0_mission_baseline,1785873201.771013,412.28
c0_mission_baseline,1785873202.243886,472.87
c0_mission_baseline,1785873202.846200,602.31
c0_mission_baseline,1785873203.041350,195.15
c0_mission_baseline,1785873203.265884,224.53
c0_mission_baseline,1785873203.463367,197.48
c0_mission_baseline,1785873203.853276,389.91
c0_mission_baseline,1785873204.364210,510.93
c0_mission_baseline,1785873204.972912,608.70
c0_mission_baseline,1785873205.180235,207.32
c0_mission_baseline,1785873207.423457,2243.22
c0_mission_baseline,1785873208.239904,816.45
c0_mission_baseline,1785873209.764242,1524.34
c0_mission_baseline,1785873210.362497,598.26
c0_mission_baseline,1785873211.155060,792.56
c0_mission_baseline,1785873211.779798,624.74
c0_mission_baseline,1785873212.162985,383.19
c0_mission_baseline,1785873212.364490,201.51
c0_mission_baseline,1785873212.766175,401.69
c0_mission_baseline,1785873213.176598,410.42
c0_mission_baseline,1785873213.351779,175.18
c0_mission_baseline,1785873213.738330,386.55
c0_mission_baseline,1785873213.937050,198.72
c0_mission_baseline,1785873214.328294,391.24
c0_mission_baseline,1785873214.750485,422.19
c0_mission_baseline,1785873215.348560,598.08
c0_mission_baseline,1785873215.604799,256.24
c0_mission_baseline,1785873216.220874,616.07
c0_mission_baseline,1785873216.393003,172.13
c0_mission_baseline,1785873216.819254,426.25
c0_mission_baseline,1785873216.991219,171.96
c0_mission_baseline,1785873217.603772,612.55
c0_mission_baseline,1785873217.776687,172.91
c0_mission_baseline,1785873218.727782,951.10
c0_mission_baseline,1785873218.927356,199.57
c0_mission_baseline,1785873219.389514,462.16
c0_mission_baseline,1785873220.048479,658.97
c0_mission_baseline,1785873221.049070,1000.59
c0_mission_baseline,1785873221.474241,425.17
c0_mission_baseline,1785873222.257680,783.44
c0_mission_baseline,1785873222.769250,511.57
c0_mission_baseline,1785873222.968933,199.68
c0_mission_baseline,1785873223.347009,378.08
c0_mission_baseline,1785873223.780916,433.91
c0_mission_baseline,1785873223.958841,177.93
