label,arrival_time_s,gap_from_prev_ms
c2_edge_load,1785870977.801650,
c2_edge_load,1785870977.801872,0.22
c2_edge_load,1785870978.759814,957.94
c2_edge_load,1785870980.771027,2011.21
c2_edge_load,1785870982.713145,1942.12
c2_edge_load,1785870990.480009,7766.86
c2_edge_load,1785870991.813427,1333.42
c2_edge_load,1785870993.711535,1898.11
c2_edge_load,1785870994.598917,887.38
c2_edge_load,1785870995.319895,720.98
c2_edge_load,1785870998.782929,3463.03
c2_edge_load,1785871000.743452,1960.52
c2_edge_load,1785871001.123047,379.60
c2_edge_load,1785871001.323008,199.96
c2_edge_load,1785871001.601216,278.21
c2_edge_load,1785871002.194082,592.87
c2_edge_load,1785871002.367709,173.63
c2_edge_load,1785871002.648060,280.35
c2_edge_load,1785871002.988609,340.55
c2_edge_load,1785871003.254453,265.84
c2_edge_load,1785871003.423822,169.37
c2_edge_load,1785871003.682521,258.70
c2_edge_load,1785871004.053775,371.25
c2_edge_load,1785871004.333739,279.96
c2_edge_load,1785871005.197321,863.58
c2_edge_load,1785871006.234049,1036.73
c2_edge_load,1785871006.442838,208.79
c2_edge_load,1785871006.650814,207.98
c2_edge_load,1785871007.018872,368.06
c2_edge_load,1785871007.841893,823.02
c2_edge_load,1785871008.151565,309.67
c2_edge_load,1785871008.292516,140.95
c2_edge_load,1785871009.864124,1571.61
c2_edge_load,1785871010.051240,187.12
c2_edge_load,1785871010.511346,460.11
c2_edge_load,1785871010.618256,106.91
c2_edge_load,1785871012.520954,1902.70
c2_edge_load,1785871012.687859,166.91
c2_edge_load,1785871013.045676,357.82
c2_edge_load,1785871013.499511,453.83
c2_edge_load,1785871013.685099,185.59
c2_edge_load,1785871014.415016,729.92
c2_edge_load,1785871014.525731,110.72
c2_edge_load,1785871015.254938,729.21
c2_edge_load,1785871015.662157,407.22
c2_edge_load,1785871015.815420,153.26
c2_edge_load,1785871017.667626,1852.21
c2_edge_load,1785871018.028916,361.29
c2_edge_load,1785871018.624599,595.68
c2_edge_load,1785871019.113328,488.73
c2_edge_load,1785871019.715296,601.97
c2_edge_load,1785871020.965082,1249.79
c2_edge_load,1785871021.230885,265.80
c2_edge_load,1785871021.804397,573.51
c2_edge_load,1785871023.558941,1754.54
c2_edge_load,1785871023.775895,216.95
c2_edge_load,1785871025.479212,1703.32
c2_edge_load,1785871025.804204,324.99
c2_edge_load,1785871026.017674,213.47
c2_edge_load,1785871026.257288,239.61
c2_edge_load,1785871026.706495,449.21
c2_edge_load,1785871027.226825,520.33
c2_edge_load,1785871028.342975,1116.15
c2_edge_load,1785871028.852507,509.53
c2_edge_load,1785871029.606450,753.94
c2_edge_load,1785871030.205426,598.98
c2_edge_load,1785871030.654635,449.21
c2_edge_load,1785871030.804519,149.88
c2_edge_load,1785871031.746090,941.57
c2_edge_load,1785871032.088015,341.93
c2_edge_load,1785871032.345926,257.91
c2_edge_load,1785871032.605883,259.96
c2_edge_load,1785871033.281390,675.51
c2_edge_load,1785871033.507259,225.87
c2_edge_load,1785871034.125982,618.72
c2_edge_load,1785871034.389797,263.82
c2_edge_load,1785871035.864884,1475.09
c2_edge_load,1785871036.147240,282.36
c2_edge_load,1785871036.354180,206.94
c2_edge_load,1785871036.755029,400.85
c2_edge_load,1785871037.981196,1226.17
c2_edge_load,1785871038.255203,274.01
c2_edge_load,1785871038.685693,430.49
c2_edge_load,1785871039.043552,357.86
c2_edge_load,1785871039.293425,249.87
c2_edge_load,1785871039.617270,323.85
c2_edge_load,1785871039.825248,207.98
c2_edge_load,1785871040.224951,399.70
c2_edge_load,1785871040.502081,277.13
c2_edge_load,1785871040.992829,490.75
c2_edge_load,1785871041.193887,201.06
c2_edge_load,1785871041.871607,677.72
c2_edge_load,1785871042.104707,233.10
c2_edge_load,1785871042.908018,803.31
c2_edge_load,1785871043.384847,476.83
c2_edge_load,1785871044.306338,921.49
c2_edge_load,1785871044.741541,435.20
c2_edge_load,1785871045.660836,919.30
c2_edge_load,1785871046.103105,442.27
c2_edge_load,1785871046.341390,238.28
c2_edge_load,1785871046.714653,373.26
c2_edge_load,1785871047.448439,733.79
c2_edge_load,1785871047.643231,194.79
c2_edge_load,1785871048.438450,795.22
c2_edge_load,1785871048.688137,249.69
c2_edge_load,1785871049.486334,798.20
c2_edge_load,1785871050.862398,1376.06
c2_edge_load,1785871051.642965,780.57
c2_edge_load,1785871052.011945,368.98
c2_edge_load,1785871052.695096,683.15
c2_edge_load,1785871053.383837,688.74
c2_edge_load,1785871054.090379,706.54
c2_edge_load,1785871054.324872,234.49
c2_edge_load,1785871054.509429,184.56
c2_edge_load,1785871054.716957,207.53
c2_edge_load,1785871055.736055,1019.10
c2_edge_load,1785871055.919278,183.22
c2_edge_load,1785871056.511665,592.39
c2_edge_load,1785871057.029511,517.85
c2_edge_load,1785871057.303693,274.18
c2_edge_load,1785871057.627370,323.68
c2_edge_load,1785871057.860683,233.31
c2_edge_load,1785871058.582596,721.91
c2_edge_load,1785871059.220457,637.86
c2_edge_load,1785871060.153567,933.11
c2_edge_load,1785871060.460653,307.09
c2_edge_load,1785871060.638537,177.88
c2_edge_load,1785871061.055581,417.04
c2_edge_load,1785871061.930774,875.19
c2_edge_load,1785871062.403877,473.10
c2_edge_load,1785871062.935600,531.72
c2_edge_load,1785871063.334664,399.06
c2_edge_load,1785871063.834085,499.42
c2_edge_load,1785871064.289075,454.99
c2_edge_load,1785871065.152344,863.27
c2_edge_load,1785871065.426604,274.26
c2_edge_load,1785871067.171612,1745.01
c2_edge_load,1785871067.473649,302.04
c2_edge_load,1785871067.820200,346.55
c2_edge_load,1785871069.176852,1356.65
c2_edge_load,1785871070.045293,868.44
c2_edge_load,1785871070.717298,672.01
c2_edge_load,1785871071.154754,437.46
c2_edge_load,1785871071.641081,486.33
c2_edge_load,1785871072.785121,1144.04
c2_edge_load,1785871073.945339,1160.22
c2_edge_load,1785871074.533293,587.95
c2_edge_load,1785871075.600455,1067.16
c2_edge_load,1785871075.814344,213.89
c2_edge_load,1785871076.374184,559.84
c2_edge_load,1785871077.243688,869.50
