label,arrival_time_s,gap_from_prev_ms
c2_edge_load,1785873562.614160,205.11
c2_edge_load,1785873562.781163,167.00
c2_edge_load,1785873562.992224,211.06
c2_edge_load,1785873563.135540,143.32
c2_edge_load,1785873563.409415,273.87
c2_edge_load,1785873563.877272,467.86
c2_edge_load,1785873564.095324,218.05
c2_edge_load,1785873564.269695,174.37
c2_edge_load,1785873564.474897,205.20
c2_edge_load,1785873564.663944,189.05
c2_edge_load,1785873565.067728,403.78
c2_edge_load,1785873565.457050,389.32
c2_edge_load,1785873566.093994,636.94
c2_edge_load,1785873566.311965,217.97
c2_edge_load,1785873567.703383,1391.42
c2_edge_load,1785873567.853643,150.26
c2_edge_load,1785873568.958001,1104.36
c2_edge_load,1785873570.214924,1256.92
c2_edge_load,1785873570.411962,197.04
c2_edge_load,1785873571.105134,693.17
c2_edge_load,1785873571.414643,309.51
c2_edge_load,1785873571.815953,401.31
c2_edge_load,1785873572.664557,848.60
c2_edge_load,1785873573.272252,607.69
c2_edge_load,1785873573.849201,576.95
c2_edge_load,1785873574.137959,288.76
c2_edge_load,1785873574.409725,271.77
c2_edge_load,1785873574.627812,218.09
c2_edge_load,1785873575.289267,661.45
c2_edge_load,1785873575.428812,139.54
c2_edge_load,1785873575.627525,198.71
c2_edge_load,1785873575.782509,154.98
c2_edge_load,1785873576.321194,538.69
c2_edge_load,1785873576.692710,371.52
c2_edge_load,1785873577.142155,449.45
c2_edge_load,1785873577.341019,198.86
c2_edge_load,1785873578.129254,788.23
c2_edge_load,1785873578.391490,262.24
c2_edge_load,1785873579.062268,670.78
c2_edge_load,1785873579.436581,374.31
c2_edge_load,1785873579.832510,395.93
c2_edge_load,1785873580.149366,316.86
c2_edge_load,1785873580.784432,635.07
c2_edge_load,1785873580.977732,193.30
c2_edge_load,1785873581.394477,416.74
c2_edge_load,1785873581.537652,143.18
c2_edge_load,1785873581.730303,192.65
c2_edge_load,1785873583.683475,1953.17
c2_edge_load,1785873584.731505,1048.03
c2_edge_load,1785873584.952311,220.81
c2_edge_load,1785873585.423184,470.87
c2_edge_load,1785873585.668591,245.41
c2_edge_load,1785873586.226198,557.61
c2_edge_load,1785873586.822054,595.86
c2_edge_load,1785873586.989542,167.49
c2_edge_load,1785873587.440944,451.40
c2_edge_load,1785873587.686367,245.42
c2_edge_load,1785873590.041223,2354.86
c2_edge_load,1785873590.400204,358.98
c2_edge_load,1785873591.045773,645.57
c2_edge_load,1785873591.268809,223.04
c2_edge_load,1785873591.611110,342.30
c2_edge_load,1785873591.785933,174.82
c2_edge_load,1785873592.022465,236.53
c2_edge_load,1785873593.822549,1800.08
c2_edge_load,1785873594.234202,411.65
c2_edge_load,1785873594.922532,688.33
c2_edge_load,1785873595.399807,477.27
c2_edge_load,1785873595.663781,263.97
c2_edge_load,1785873596.202563,538.78
c2_edge_load,1785873597.710697,1508.13
c2_edge_load,1785873597.960549,249.85
c2_edge_load,1785873598.280404,319.86
c2_edge_load,1785873599.095225,814.82
c2_edge_load,1785873599.264406,169.18
c2_edge_load,1785873599.634401,369.99
c2_edge_load,1785873599.974565,340.16
c2_edge_load,1785873600.160190,185.63
c2_edge_load,1785873600.808714,648.52
c2_edge_load,1785873601.242823,434.11
c2_edge_load,1785873601.643031,400.21
c2_edge_load,1785873602.223559,580.53
c2_edge_load,1785873602.444911,221.35
c2_edge_load,1785873602.748681,303.77
c2_edge_load,1785873603.065308,316.63
c2_edge_load,1785873603.923538,858.23
c2_edge_load,1785873604.224287,300.75
c2_edge_load,1785873604.358558,134.27
c2_edge_load,1785873604.704957,346.40
