label,arrival_time_s,gap_from_prev_ms
c3_ground_load,1785872747.429195,142.23
c3_ground_load,1785872747.775092,345.90
c3_ground_load,1785872748.418418,643.33
c3_ground_load,1785872749.439237,1020.82
c3_ground_load,1785872750.932423,1493.19
c3_ground_load,1785872751.356102,423.68
c3_ground_load,1785872751.920447,564.34
c3_ground_load,1785872752.818922,898.47
c3_ground_load,1785872753.019022,200.10
c3_ground_load,1785872753.462158,443.14
c3_ground_load,1785872754.409579,947.42
c3_ground_load,1785872754.484068,74.49
c3_ground_load,1785872754.640075,156.01
c3_ground_load,1785872755.202064,561.99
c3_ground_load,1785872755.326611,124.55
c3_ground_load,1785872755.587519,260.91
c3_ground_load,1785872755.770406,182.89
c3_ground_load,1785872756.010861,240.46
c3_ground_load,1785872756.437602,426.74
c3_ground_load,1785872756.755690,318.09
c3_ground_load,1785872756.947356,191.67
c3_ground_load,1785872757.463525,516.17
c3_ground_load,1785872758.297918,834.39
c3_ground_load,1785872758.924616,626.70
c3_ground_load,1785872759.334867,410.25
c3_ground_load,1785872759.591238,256.37
c3_ground_load,1785872759.721756,130.52
