label,arrival_time_s,gap_from_prev_ms
c1_baseline,1785869319.476755,893.44
c1_baseline,1785869319.801079,324.32
c1_baseline,1785869320.189287,388.21
c1_baseline,1785869321.043704,854.42
c1_baseline,1785869321.258083,214.38
c1_baseline,1785869321.455269,197.19
c1_baseline,1785869322.208747,753.48
c1_baseline,1785869322.854433,645.69
c1_baseline,1785869323.074112,219.68
c1_baseline,1785869323.618814,544.70
c1_baseline,1785869324.054727,435.91
c1_baseline,1785869324.406399,351.67
c1_baseline,1785869325.268284,861.88
c1_baseline,1785869326.690432,1422.15
c1_baseline,1785869326.865264,174.83
c1_baseline,1785869327.644705,779.44
c1_baseline,1785869328.594392,949.69
c1_baseline,1785869328.812942,218.55
c1_baseline,1785869329.206521,393.58
c1_baseline,1785869329.626535,420.01
c1_baseline,1785869329.840268,213.73
c1_baseline,1785869330.061040,220.77
c1_baseline,1785869330.231937,170.90
c1_baseline,1785869330.663462,431.53
c1_baseline,1785869332.458969,1795.51
c1_baseline,1785869332.655003,196.03
c1_baseline,1785869333.486748,831.74
c1_baseline,1785869333.639083,152.33
c1_baseline,1785869333.830998,191.92
c1_baseline,1785869334.003656,172.66
c1_baseline,1785869334.793007,789.35
c1_baseline,1785869334.972612,179.61
c1_baseline,1785869335.596836,624.22
c1_baseline,1785869336.081117,484.28
c1_baseline,1785869336.288574,207.46
c1_baseline,1785869336.456339,167.76
c1_baseline,1785869336.691700,235.36
c1_baseline,1785869336.886079,194.38
c1_baseline,1785869337.071011,184.93
c1_baseline,1785869337.379878,308.87
c1_baseline,1785869338.874332,1494.45
c1_baseline,1785869339.287682,413.35
c1_baseline,1785869340.083400,795.72
c1_baseline,1785869340.248464,165.06
c1_baseline,1785869340.445627,197.16
c1_baseline,1785869340.661141,215.51
c1_baseline,1785869341.088592,427.45
c1_baseline,1785869341.276302,187.71
c1_baseline,1785869341.987971,711.67
c1_baseline,1785869342.827629,839.66
c1_baseline,1785869342.980895,153.27
c1_baseline,1785869343.215254,234.36
c1_baseline,1785869343.615322,400.07
c1_baseline,1785869343.815052,199.73
c1_baseline,1785869344.193148,378.10
c1_baseline,1785869344.626951,433.80
c1_baseline,1785869345.289377,662.43
c1_baseline,1785869345.653069,363.69
c1_baseline,1785869346.883138,1230.07
c1_baseline,1785869347.061946,178.81
c1_baseline,1785869347.260770,198.82
c1_baseline,1785869347.452935,192.16
c1_baseline,1785869348.230644,777.71
c1_baseline,1785869348.444244,213.60
c1_baseline,1785869349.017259,573.01
c1_baseline,1785869349.408880,391.62
c1_baseline,1785869349.630447,221.57
c1_baseline,1785869349.992807,362.36
c1_baseline,1785869350.205252,212.44
c1_baseline,1785869350.395821,190.57
c1_baseline,1785869350.850953,455.13
c1_baseline,1785869351.386559,535.61
c1_baseline,1785869351.573068,186.51
c1_baseline,1785869352.627088,1054.02
c1_baseline,1785869352.842140,215.05
c1_baseline,1785869353.035852,193.71
c1_baseline,1785869353.459792,423.94
c1_baseline,1785869353.616897,157.10
c1_baseline,1785869353.855513,238.62
c1_baseline,1785869354.202585,347.07
c1_baseline,1785869354.408693,206.11
c1_baseline,1785869354.589219,180.53
c1_baseline,1785869354.802954,213.74
c1_baseline,1785869354.991945,188.99
c1_baseline,1785869355.417754,425.81
c1_baseline,1785869355.974142,556.39
c1_baseline,1785869356.402778,428.64
