time_s,node_id,x_m,y_m,z_m
0.004520,0,-70.0,-7.0,2.9000000953674316
0.004520,1,40.334285736083984,-6.77424430847168,59.88312911987305
0.004520,2,219.97218322753906,63.328392028808594,40.006710052490234
0.004520,3,210.72666931152344,-157.23968505859375,50.07373046875
0.104527,0,-70.0,-7.0,2.9000000953674316
0.104527,1,40.332923889160156,-6.771209716796875,59.88323211669922
0.104527,2,219.96336364746094,63.34423828125,40.006351470947266
0.104527,3,210.71971130371094,-157.2526092529297,50.0739631652832
0.204538,0,-70.0,-7.0,2.9000000953674316
0.204538,1,40.33113098144531,-6.762898921966553,59.88426208496094
0.204538,2,219.9544677734375,63.35958480834961,40.00403594970703
0.204538,3,210.71499633789062,-157.26705932617188,50.074928283691406
0.304553,0,-70.0,-7.0,2.9000000953674316
0.304553,1,40.33040237426758,-6.757879257202148,59.88425827026367
0.304553,2,219.944091796875,63.36970520019531,40.00217056274414
0.304553,3,210.71023559570312,-157.2802276611328,50.07706832885742
0.404548,0,-70.0,-7.0,2.9000000953674316
0.404548,1,40.32823944091797,-6.748152732849121,59.883445739746094
0.404548,2,219.93450927734375,63.3812141418457,40.000953674316406
0.404548,3,210.7065887451172,-157.29347229003906,50.078189849853516
0.504666,0,-70.0,-7.0,2.9000000953674316
0.504666,1,40.32511520385742,-6.744065284729004,59.8848876953125
0.504666,2,219.92340087890625,63.39479064941406,40.00011444091797
0.504666,3,210.7021942138672,-157.30674743652344,50.07815170288086
0.604513,0,-70.0,-7.0,2.9000000953674316
0.604513,1,40.32068634033203,-6.736517906188965,59.886192321777344
0.604513,2,219.91464233398438,63.407379150390625,39.99668502807617
0.604513,3,210.69728088378906,-157.3218231201172,50.07841491699219
0.704620,0,-70.0,-7.0,2.9000000953674316
0.704620,1,40.31825256347656,-6.731808185577393,59.886844635009766
0.704620,2,219.9098358154297,63.41996765136719,39.99344253540039
0.704620,3,210.69027709960938,-157.33767700195312,50.080162048339844
0.804591,0,-70.0,-7.0,2.9000000953674316
0.804591,1,40.31599807739258,-6.723855495452881,59.888301849365234
0.804591,2,219.9062042236328,63.43190383911133,39.991851806640625
0.804591,3,210.6823272705078,-157.35520935058594,50.08049011230469
0.904647,0,-70.0,-7.0,2.9000000953674316
0.904647,1,40.315757751464844,-6.717431545257568,59.88762664794922
0.904647,2,219.9010467529297,63.44952392578125,39.988826751708984
0.904647,3,210.6757354736328,-157.37315368652344,50.08032989501953
1.004495,0,-70.0,-7.0,2.9000000953674316
1.004495,1,40.314964294433594,-6.709847450256348,59.88814926147461
1.004495,2,219.89810180664062,63.46641540527344,39.98524856567383
1.004495,3,210.66969299316406,-157.3891143798828,50.08023452758789
1.104455,0,-70.0,-7.0,2.9000000953674316
1.104455,1,40.31389617919922,-6.704731464385986,59.889034271240234
1.104455,2,219.89599609375,63.478797912597656,39.983638763427734
1.104455,3,210.66555786132812,-157.399658203125,50.07913589477539
1.208507,0,-70.0,-7.0,2.9000000953674316
1.208507,1,40.31290817260742,-6.699535846710205,59.8870735168457
1.208507,2,219.89454650878906,63.490936279296875,39.982017517089844
1.208507,3,210.6628875732422,-157.4095458984375,50.07954025268555
1.304680,0,-70.0,-7.0,2.9000000953674316
1.304680,1,40.313323974609375,-6.6981658935546875,59.8857536315918
1.304680,2,219.8917999267578,63.50019073486328,39.980899810791016
1.304680,3,210.65936279296875,-157.41815185546875,50.08039093017578
1.404689,0,-70.0,-7.0,2.9000000953674316
1.404689,1,40.31324005126953,-6.691376209259033,59.88517379760742
1.404689,2,219.8905792236328,63.51114273071289,39.97981262207031
1.404689,3,210.6550750732422,-157.4274139404297,50.08183670043945
1.504600,0,-70.0,-7.0,2.9000000953674316
1.504600,1,40.31475067138672,-6.691708087921143,59.88500213623047
1.504600,2,219.88623046875,63.526710510253906,39.980403900146484
1.504600,3,210.6517791748047,-157.43138122558594,50.082725524902344
1.604656,0,-70.0,-7.0,2.9000000953674316
1.604656,1,40.31727600097656,-6.687278747558594,59.884178161621094
1.604656,2,219.88113403320312,63.5401611328125,39.980464935302734
1.604656,3,210.64828491210938,-157.43301391601562,50.0860481262207
1.704643,0,-70.0,-7.0,2.9000000953674316
1.704643,1,40.32120895385742,-6.686177730560303,59.88302993774414
1.704643,2,219.87940979003906,63.55086135864258,39.97850036621094
1.704643,3,210.64414978027344,-157.43565368652344,50.08885955810547
1.804583,0,-70.0,-7.0,2.9000000953674316
1.804583,1,40.326473236083984,-6.689772129058838,59.8819465637207
1.804583,2,219.87796020507812,63.56121063232422,39.97800064086914
1.804583,3,210.6389923095703,-157.43893432617188,50.089664459228516
1.904870,0,-70.0,-7.0,2.9000000953674316
1.904870,1,40.32979202270508,-6.687526226043701,59.88111114501953
1.904870,2,219.8758087158203,63.573997497558594,39.9750862121582
1.904870,3,210.63340759277344,-157.44125366210938,50.09024429321289
2.004559,0,-70.0,-7.0,2.9000000953674316
2.004559,1,40.333335876464844,-6.690667629241943,59.88005828857422
2.004559,2,219.87335205078125,63.58436584472656,39.97119140625
2.004559,3,210.62863159179688,-157.44094848632812,50.09154510498047
2.104863,0,-70.0,-7.0,2.9000000953674316
2.104863,1,40.33588409423828,-6.688882827758789,59.8801383972168
2.104863,2,219.87234497070312,63.588680267333984,39.971004486083984
2.104863,3,210.62481689453125,-157.4381866455078,50.09276580810547
2.204562,0,-70.0,-7.0,2.9000000953674316
2.204562,1,40.338905334472656,-6.691452503204346,59.88240051269531
2.204562,2,219.87127685546875,63.59800720214844,39.97065353393555
2.204562,3,210.62057495117188,-157.43829345703125,50.09461212158203
2.304427,0,-70.0,-7.0,2.9000000953674316
2.304427,1,40.34182357788086,-6.691808223724365,59.883270263671875
2.304427,2,219.87049865722656,63.60773468017578,39.96813201904297
2.304427,3,210.61538696289062,-157.44117736816406,50.09553909301758
2.407935,0,-70.0,-7.0,2.9000000953674316
2.407935,1,40.34490203857422,-6.69035530090332,59.882110595703125
2.407935,2,219.8715362548828,63.61103820800781,39.96652603149414
2.407935,3,210.6107635498047,-157.44602966308594,50.09632873535156
2.504797,0,-70.0,-7.0,2.9000000953674316
2.504797,1,40.346336364746094,-6.690670490264893,59.88161087036133
2.504797,2,219.8719024658203,63.61311340332031,39.965667724609375
2.504797,3,210.61016845703125,-157.4452667236328,50.09608459472656
2.604655,0,-70.0,-7.0,2.9000000953674316
2.604655,1,40.34897232055664,-6.69245719909668,59.881263732910156
2.604655,2,219.8710174560547,63.61476135253906,39.96306228637695
2.604655,3,210.60604858398438,-157.44964599609375,50.094200134277344
2.704722,0,-70.0,-7.0,2.9000000953674316
2.704722,1,40.3498649597168,-6.693192958831787,59.881324768066406
2.704722,2,219.870361328125,63.61191940307617,39.95945358276367
2.704722,3,210.60133361816406,-157.45596313476562,50.09310531616211
2.804664,0,-70.0,-7.0,2.9000000953674316
2.804664,1,40.350067138671875,-6.693514347076416,59.88090133666992
2.804664,2,219.87171936035156,63.61198806762695,39.957298278808594
2.804664,3,210.59576416015625,-157.46438598632812,50.09365463256836
2.904647,0,-70.0,-7.0,2.9000000953674316
2.904647,1,40.350032806396484,-6.697102069854736,59.8814811706543
2.904647,2,219.87120056152344,63.61753463745117,39.95598220825195
2.904647,3,210.58961486816406,-157.47265625,50.0931282043457
3.004680,0,-70.0,-7.0,2.9000000953674316
3.004680,1,40.348453521728516,-6.697206497192383,59.88428497314453
3.004680,2,219.87400817871094,63.6172981262207,39.955970764160156
3.004680,3,210.5853271484375,-157.47897338867188,50.09286117553711
3.104620,0,-70.0,-7.0,2.9000000953674316
3.104620,1,40.347740173339844,-6.698708534240723,59.88661193847656
3.104620,2,219.8786163330078,63.61607360839844,39.956233978271484
3.104620,3,210.58145141601562,-157.48233032226562,50.0927734375
3.204553,0,-70.0,-7.0,2.9000000953674316
3.204553,1,40.34603500366211,-6.695336818695068,59.8867301940918
3.204553,2,219.88282775878906,63.616737365722656,39.957115173339844
3.204553,3,210.57806396484375,-157.4868927001953,50.09262466430664
3.304571,0,-70.0,-7.0,2.9000000953674316
3.304571,1,40.345497131347656,-6.697483062744141,59.887428283691406
3.304571,2,219.88986206054688,63.614654541015625,39.958248138427734
3.304571,3,210.57562255859375,-157.49227905273438,50.09049987792969
3.404551,0,-70.0,-7.0,2.9000000953674316
3.404551,1,40.34379196166992,-6.694695949554443,59.888301849365234
3.404551,2,219.8956298828125,63.61180114746094,39.959251403808594
3.404551,3,210.57237243652344,-157.497802734375,50.08943176269531
3.504641,0,-70.0,-7.0,2.9000000953674316
3.504641,1,40.34111785888672,-6.69590950012207,59.888126373291016
3.504641,2,219.8982391357422,63.611637115478516,39.9590950012207
3.504641,3,210.56948852539062,-157.5021514892578,50.087608337402344
3.604453,0,-70.0,-7.0,2.9000000953674316
3.604453,1,40.3388786315918,-6.691066265106201,59.88856506347656
3.604453,2,219.90040588378906,63.60612487792969,39.95732879638672
3.604453,3,210.5668182373047,-157.50328063964844,50.08795166015625
3.704886,0,-70.0,-7.0,2.9000000953674316
3.704886,1,40.33843231201172,-6.690600395202637,59.889244079589844
3.704886,2,219.90335083007812,63.599998474121094,39.957542419433594
3.704886,3,210.5655059814453,-157.50094604492188,50.09016799926758
3.808357,0,-70.0,-7.0,2.9000000953674316
3.808357,1,40.33711242675781,-6.685382843017578,59.89059066772461
3.808357,2,219.9044647216797,63.599090576171875,39.95707321166992
3.808357,3,210.56349182128906,-157.49818420410156,50.090885162353516
3.904627,0,-70.0,-7.0,2.9000000953674316
3.904627,1,40.33735275268555,-6.686713218688965,59.89210891723633
3.904627,2,219.90647888183594,63.59527587890625,39.956382751464844
3.904627,3,210.56072998046875,-157.50277709960938,50.09081268310547
4.004567,0,-70.0,-7.0,2.9000000953674316
4.004567,1,40.337223052978516,-6.6855597496032715,59.89236068725586
4.004567,2,219.90615844726562,63.596946716308594,39.95354461669922
4.004567,3,210.5599365234375,-157.50125122070312,50.08965301513672
4.104655,0,-70.0,-7.0,2.9000000953674316
4.104655,1,40.338260650634766,-6.688279628753662,59.89120864868164
4.104655,2,219.90626525878906,63.59811019897461,39.95075225830078
4.104655,3,210.5597381591797,-157.49844360351562,50.08705520629883
4.204499,0,-70.0,-7.0,2.9000000953674316
4.204499,1,40.33902359008789,-6.68959379196167,59.893341064453125
4.204499,2,219.9066925048828,63.59616470336914,39.94873046875
4.204499,3,210.5612030029297,-157.49392700195312,50.08512878417969
4.304535,0,-70.0,-7.0,2.9000000953674316
4.304535,1,40.33968734741211,-6.694099426269531,59.89598846435547
4.304535,2,219.90626525878906,63.59474563598633,39.945404052734375
4.304535,3,210.5623016357422,-157.4917449951172,50.08366012573242
4.404581,0,-70.0,-7.0,2.9000000953674316
4.404581,1,40.34061050415039,-6.695537090301514,59.896148681640625
4.404581,2,219.90524291992188,63.59396743774414,39.94053649902344
4.404581,3,210.56283569335938,-157.4907989501953,50.080318450927734
4.504659,0,-70.0,-7.0,2.9000000953674316
4.504659,1,40.34306335449219,-6.7040534019470215,59.89585876464844
4.504659,2,219.9069366455078,63.58827590942383,39.93666076660156
4.504659,3,210.5618896484375,-157.4908447265625,50.07809829711914
4.604631,0,-70.0,-7.0,2.9000000953674316
4.604631,1,40.34383010864258,-6.70953893661499,59.89472961425781
4.604631,2,219.90789794921875,63.5814323425293,39.936092376708984
4.604631,3,210.56166076660156,-157.490478515625,50.078224182128906
4.704587,0,-70.0,-7.0,2.9000000953674316
4.704587,1,40.34384536743164,-6.721151351928711,59.89445495605469
4.704587,2,219.9056854248047,63.57920455932617,39.93610763549805
4.704587,3,210.56304931640625,-157.48831176757812,50.07843017578125
4.804643,0,-70.0,-7.0,2.9000000953674316
4.804643,1,40.34306716918945,-6.72983980178833,59.89356231689453
4.804643,2,219.9054412841797,63.57319641113281,39.93606185913086
4.804643,3,210.5655059814453,-157.48324584960938,50.07947540283203
4.904492,0,-70.0,-7.0,2.9000000953674316
4.904492,1,40.34359359741211,-6.743819713592529,59.89149856567383
4.904492,2,219.90415954589844,63.56797409057617,39.936195373535156
4.904492,3,210.56654357910156,-157.47940063476562,50.0798454284668
5.008354,0,-70.0,-7.0,2.9000000953674316
5.008354,1,40.34272766113281,-6.754380702972412,59.891475677490234
5.008354,2,219.90269470214844,63.564422607421875,39.9347038269043
5.008354,3,210.56544494628906,-157.47926330566406,50.07905960083008
5.104625,0,-70.0,-7.0,2.9000000953674316
5.104625,1,40.343231201171875,-6.7625603675842285,59.8916015625
5.104625,2,219.90403747558594,63.55724334716797,39.93326950073242
5.104625,3,210.56649780273438,-157.4764862060547,50.0797004699707
5.204538,0,-70.0,-7.0,2.9000000953674316
5.204538,1,40.342872619628906,-6.774113655090332,59.89059829711914
5.204538,2,219.90426635742188,63.55139923095703,39.931358337402344
5.204538,3,210.56729125976562,-157.47203063964844,50.08253860473633
5.304677,0,-70.0,-7.0,2.9000000953674316
5.304677,1,40.34430694580078,-6.787049293518066,59.89042282104492
5.304677,2,219.90597534179688,63.54201126098633,39.93057632446289
5.304677,3,210.5670928955078,-157.47181701660156,50.08311462402344
5.404685,0,-70.0,-7.0,2.9000000953674316
5.404685,1,40.34492492675781,-6.7968621253967285,59.89039611816406
5.404685,2,219.906982421875,63.532474517822266,39.930015563964844
5.404685,3,210.5684814453125,-157.46856689453125,50.083335876464844
5.504806,0,-70.0,-7.0,2.9000000953674316
5.504806,1,40.34507751464844,-6.809916019439697,59.890750885009766
5.504806,2,219.90557861328125,63.52748107910156,39.928829193115234
5.504806,3,210.570556640625,-157.46287536621094,50.085018157958984
5.604836,0,-70.0,-7.0,2.9000000953674316
5.604836,1,40.343406677246094,-6.817895412445068,59.890140533447266
5.604836,2,219.90603637695312,63.51827621459961,39.92702102661133
5.604836,3,210.57211303710938,-157.45787048339844,50.08707809448242
5.704643,0,-70.0,-7.0,2.9000000953674316
5.704643,1,40.34412384033203,-6.831322193145752,59.89155578613281
5.704643,2,219.90867614746094,63.507957458496094,39.925167083740234
5.704643,3,210.57212829589844,-157.45623779296875,50.08843994140625
5.804636,0,-70.0,-7.0,2.9000000953674316
5.804636,1,40.34442901611328,-6.839539051055908,59.89341354370117
5.804636,2,219.91143798828125,63.501220703125,39.92224884033203
5.804636,3,210.57115173339844,-157.45578002929688,50.08963394165039
5.904692,0,-70.0,-7.0,2.9000000953674316
5.904692,1,40.347721099853516,-6.853921890258789,59.89227294921875
5.904692,2,219.91558837890625,63.492462158203125,39.91977310180664
5.904692,3,210.5725860595703,-157.45350646972656,50.088905334472656
6.004643,0,-70.0,-7.0,2.9000000953674316
6.004643,1,40.35133361816406,-6.8624091148376465,59.89358139038086
6.004643,2,219.92079162597656,63.479801177978516,39.917179107666016
6.004643,3,210.5743865966797,-157.4516143798828,50.08799362182617
6.104587,0,-70.0,-7.0,2.9000000953674316
6.104587,1,40.357139587402344,-6.874547004699707,59.89448165893555
6.104587,2,219.92942810058594,63.47026062011719,39.9158821105957
6.104587,3,210.5775909423828,-157.44589233398438,50.08736038208008
6.204680,0,-70.0,-7.0,2.9000000953674316
6.204680,1,40.36172866821289,-6.883151531219482,59.89384460449219
6.204680,2,219.93724060058594,63.4625244140625,39.915008544921875
6.204680,3,210.5795440673828,-157.4418182373047,50.08757400512695
6.304466,0,-70.0,-7.0,2.9000000953674316
6.304466,1,40.365882873535156,-6.894868850708008,59.893795013427734
6.304466,2,219.9469757080078,63.44871520996094,39.91522979736328
6.304466,3,210.58154296875,-157.4398956298828,50.0896110534668
6.408304,0,-70.0,-7.0,2.9000000953674316
6.408304,1,40.369293212890625,-6.902807235717773,59.89599609375
6.408304,2,219.95401000976562,63.43720245361328,39.91499328613281
6.408304,3,210.58132934570312,-157.4373321533203,50.091453552246094
6.504626,0,-70.0,-7.0,2.9000000953674316
6.504626,1,40.37140655517578,-6.909463405609131,59.897216796875
6.504626,2,219.95777893066406,63.4308967590332,39.915077209472656
6.504626,3,210.5832977294922,-157.43016052246094,50.09212875366211
6.604550,0,-70.0,-7.0,2.9000000953674316
6.604550,1,40.373291015625,-6.9161152839660645,59.89873123168945
6.604550,2,219.96359252929688,63.416831970214844,39.91339111328125
6.604550,3,210.58311462402344,-157.42446899414062,50.092926025390625
6.704615,0,-70.0,-7.0,2.9000000953674316
6.704615,1,40.375038146972656,-6.926785469055176,59.89862823486328
6.704615,2,219.9666290283203,63.40507888793945,39.91200637817383
6.704615,3,210.58311462402344,-157.4213104248047,50.093502044677734
6.804519,0,-70.0,-7.0,2.9000000953674316
6.804519,1,40.3748893737793,-6.9334564208984375,59.89929962158203
6.804519,2,219.97145080566406,63.38748550415039,39.91172409057617
6.804519,3,210.58399963378906,-157.41676330566406,50.09561538696289
6.904701,0,-70.0,-7.0,2.9000000953674316
6.904701,1,40.37376022338867,-6.943231105804443,59.90032958984375
6.904701,2,219.97576904296875,63.36793518066406,39.909568786621094
6.904701,3,210.58546447753906,-157.41281127929688,50.09823989868164
7.004564,0,-70.0,-7.0,2.9000000953674316
7.004564,1,40.37107467651367,-6.946739673614502,59.898826599121094
7.004564,2,219.9784393310547,63.35289764404297,39.9083366394043
7.004564,3,210.58689880371094,-157.4111328125,50.10037612915039
7.104748,0,-70.0,-7.0,2.9000000953674316
7.104748,1,40.3692512512207,-6.951189994812012,59.8952522277832
7.104748,2,219.98020935058594,63.340232849121094,39.90694808959961
7.104748,3,210.5888214111328,-157.4128875732422,50.102134704589844
7.204538,0,-70.0,-7.0,2.9000000953674316
7.204538,1,40.367523193359375,-6.953268051147461,59.89248275756836
7.204538,2,219.98219299316406,63.324195861816406,39.90283966064453
7.204538,3,210.5895233154297,-157.4176025390625,50.10215759277344
7.304551,0,-70.0,-7.0,2.9000000953674316
7.304551,1,40.3669319152832,-6.953304767608643,59.89191436767578
7.304551,2,219.98577880859375,63.30990219116211,39.90010070800781
7.304551,3,210.58999633789062,-157.42642211914062,50.10224914550781
7.404484,0,-70.0,-7.0,2.9000000953674316
7.404484,1,40.36807632446289,-6.951886177062988,59.89141082763672
7.404484,2,219.98793029785156,63.30128479003906,39.89951705932617
7.404484,3,210.5924530029297,-157.43431091308594,50.103572845458984
7.504483,0,-70.0,-7.0,2.9000000953674316
7.504483,1,40.36920166015625,-6.950328350067139,59.891780853271484
7.504483,2,219.99148559570312,63.291847229003906,39.89759826660156
7.504483,3,210.59393310546875,-157.44021606445312,50.106285095214844
7.608221,0,-70.0,-7.0,2.9000000953674316
7.608221,1,40.37062454223633,-6.949010848999023,59.89317321777344
7.608221,2,219.9958953857422,63.280460357666016,39.89554977416992
7.608221,3,210.59519958496094,-157.4467010498047,50.109127044677734
7.704769,0,-70.0,-7.0,2.9000000953674316
7.704769,1,40.37142562866211,-6.949264049530029,59.89301300048828
7.704769,2,219.9966278076172,63.280513763427734,39.89426803588867
7.704769,3,210.59336853027344,-157.45513916015625,50.110206604003906
7.804524,0,-70.0,-7.0,2.9000000953674316
7.804524,1,40.372169494628906,-6.945417404174805,59.89262390136719
7.804524,2,220.00265502929688,63.27280044555664,39.89202880859375
7.804524,3,210.5932159423828,-157.46363830566406,50.11371612548828
7.904616,0,-70.0,-7.0,2.9000000953674316
7.904616,1,40.372066497802734,-6.946858882904053,59.891029357910156
7.904616,2,220.00640869140625,63.268280029296875,39.88813018798828
7.904616,3,210.59432983398438,-157.4722900390625,50.11617660522461
8.004552,0,-70.0,-7.0,2.9000000953674316
8.004552,1,40.37094497680664,-6.946568489074707,59.889122009277344
8.004552,2,220.00814819335938,63.26934814453125,39.885555267333984
8.004552,3,210.59396362304688,-157.48239135742188,50.115936279296875
8.104621,0,-70.0,-7.0,2.9000000953674316
8.104621,1,40.37065124511719,-6.94848108291626,59.88967514038086
