time_s,metric,source,destination,value
1.484437,obstacle_loss_db,1,2,0.0
1.484437,obstacle_loss_db,1,3,0.0
1.484437,obstacle_loss_db,2,3,0.0
1.587754,obstacle_loss_db,0,1,0.0
1.587754,obstacle_loss_db,0,2,16.73349380493164
1.587754,obstacle_loss_db,0,3,0.0
1.587754,obstacle_loss_db,1,2,0.0
1.587754,obstacle_loss_db,1,3,0.0
1.587754,obstacle_loss_db,2,3,0.0
1.684250,obstacle_loss_db,0,1,0.0
1.684250,obstacle_loss_db,0,2,16.725048065185547
1.684250,obstacle_loss_db,0,3,0.0
1.684250,obstacle_loss_db,1,2,0.0
1.684250,obstacle_loss_db,1,3,0.0
1.684250,obstacle_loss_db,2,3,0.0
1.788033,obstacle_loss_db,0,1,0.0
1.788033,obstacle_loss_db,0,2,16.718656539916992
1.788033,obstacle_loss_db,0,3,0.0
1.788033,obstacle_loss_db,1,2,0.0
1.788033,obstacle_loss_db,1,3,0.0
1.788033,obstacle_loss_db,2,3,0.0
1.799480,rssi_dbm,0,1,-55.38188552856445
1.799480,rssi_dbm,0,2,-84.50325012207031
1.799480,rssi_dbm,0,3,-62.94111251831055
1.799480,rssi_dbm,1,2,-55.48657989501953
1.799480,rssi_dbm,1,3,-60.63991165161133
1.799480,rssi_dbm,2,3,-64.96534729003906
1.799493,snr_db,0,1,38.61811447143555
1.799493,snr_db,0,2,9.49675178527832
1.799493,snr_db,0,3,31.058887481689453
1.799493,snr_db,1,2,38.51342010498047
1.799493,snr_db,1,3,33.36008834838867
1.799493,snr_db,2,3,29.034652709960938
1.884415,obstacle_loss_db,0,1,0.0
1.884415,obstacle_loss_db,0,2,16.712507247924805
1.884415,obstacle_loss_db,0,3,0.0
1.884415,obstacle_loss_db,1,2,0.0
1.884415,obstacle_loss_db,1,3,0.0
1.884415,obstacle_loss_db,2,3,0.0
1.987529,obstacle_loss_db,0,1,0.0
1.987529,obstacle_loss_db,0,2,16.70486068725586
1.987529,obstacle_loss_db,0,3,0.0
1.987529,obstacle_loss_db,1,2,0.0
1.987529,obstacle_loss_db,1,3,0.0
1.987529,obstacle_loss_db,2,3,0.0
2.085979,obstacle_loss_db,0,1,0.0
2.085979,obstacle_loss_db,0,2,16.69856071472168
2.085979,obstacle_loss_db,0,3,0.0
2.085979,obstacle_loss_db,1,2,0.0
2.085979,obstacle_loss_db,1,3,0.0
2.085979,obstacle_loss_db,2,3,0.0
2.187672,obstacle_loss_db,0,1,0.0
2.187672,obstacle_loss_db,0,2,16.69594383239746
2.187672,obstacle_loss_db,0,3,0.0
2.187672,obstacle_loss_db,1,2,0.0
2.187672,obstacle_loss_db,1,3,0.0
2.187672,obstacle_loss_db,2,3,0.0
2.284363,obstacle_loss_db,0,1,0.0
2.284363,obstacle_loss_db,0,2,16.690441131591797
2.284363,obstacle_loss_db,0,3,0.0
2.284363,obstacle_loss_db,1,2,0.0
2.284363,obstacle_loss_db,1,3,0.0
2.284363,obstacle_loss_db,2,3,0.0
2.299327,rssi_dbm,0,1,-50.574241638183594
2.299327,rssi_dbm,0,2,-80.59326934814453
2.299327,rssi_dbm,0,3,-61.22833251953125
2.299327,rssi_dbm,1,2,-54.01046371459961
2.299327,rssi_dbm,1,3,-60.14701843261719
2.299327,rssi_dbm,2,3,-57.534664154052734
2.299333,snr_db,0,1,43.425758361816406
2.299333,snr_db,0,2,13.406732559204102
2.299333,snr_db,0,3,32.77166748046875
2.299333,snr_db,1,2,39.98953628540039
2.299333,snr_db,1,3,33.85298156738281
2.299333,snr_db,2,3,36.465335845947266
2.387382,obstacle_loss_db,0,1,0.0
2.387382,obstacle_loss_db,0,2,16.684749603271484
2.387382,obstacle_loss_db,0,3,0.0
2.387382,obstacle_loss_db,1,2,0.0
2.387382,obstacle_loss_db,1,3,0.0
2.387382,obstacle_loss_db,2,3,0.0
2.484064,obstacle_loss_db,0,1,0.0
2.484064,obstacle_loss_db,0,2,16.68299674987793
2.484064,obstacle_loss_db,0,3,0.0
2.484064,obstacle_loss_db,1,2,0.0
2.484064,obstacle_loss_db,1,3,0.0
2.484064,obstacle_loss_db,2,3,0.0
2.587766,obstacle_loss_db,0,1,0.0
2.587766,obstacle_loss_db,0,2,16.68185806274414
