time_s,assignment
0.003188,"{""assignments"": [{""gcs_snr_db"": 56.3, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9985, ""uav_id"": 1}, {""gcs_snr_db"": 55.05, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9982, ""uav_id"": 2}, {""gcs_snr_db"": 56.52, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9984, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 7, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003196,"{""assignments"": [{""gcs_snr_db"": 59.32, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9992, ""uav_id"": 1}, {""gcs_snr_db"": 54.86, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.999, ""uav_id"": 2}, {""gcs_snr_db"": 56.16, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9989, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 7, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003202,"{""assignments"": [{""gcs_snr_db"": 48.09, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.9989, ""uav_id"": 1}, {""gcs_snr_db"": 49.63, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9992, ""uav_id"": 2}, {""gcs_snr_db"": 54.56, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9991, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 8, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003209,"{""assignments"": [{""gcs_snr_db"": 51.61, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9993, ""uav_id"": 1}, {""gcs_snr_db"": 51.04, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9988, ""uav_id"": 2}, {""gcs_snr_db"": 55.5, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9993, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003215,"{""assignments"": [{""gcs_snr_db"": 52.86, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.9974, ""uav_id"": 1}, {""gcs_snr_db"": 51.39, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9985, ""uav_id"": 2}, {""gcs_snr_db"": 47.13, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9986, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003222,"{""assignments"": [{""gcs_snr_db"": 50.93, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.9986, ""uav_id"": 1}, {""gcs_snr_db"": 46.6, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9989, ""uav_id"": 2}, {""gcs_snr_db"": 48.64, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.999, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003231,"{""assignments"": [{""gcs_snr_db"": 50.28, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.982, ""uav_id"": 1}, {""gcs_snr_db"": 44.38, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9661, ""uav_id"": 2}, {""gcs_snr_db"": 45.22, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9819, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003238,"{""assignments"": [{""gcs_snr_db"": 46.1, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 1], ""score"": 0.9665, ""uav_id"": 1}, {""gcs_snr_db"": 47.91, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 2], ""score"": 0.9631, ""uav_id"": 2}, {""gcs_snr_db"": 42.38, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9758, ""uav_id"": 3}], ""backup_ch"": 1, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003244,"{""assignments"": [{""gcs_snr_db"": 51.6, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.954, ""uav_id"": 1}, {""gcs_snr_db"": 51.01, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9753, ""uav_id"": 2}, {""gcs_snr_db"": 46.7, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9752, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
0.003251,"{""assignments"": [{""gcs_snr_db"": 49.96, ""parent"": 3, ""role"": ""MEMBER"", ""route"": [0, 3, 1], ""score"": 0.9515, ""uav_id"": 1}, {""gcs_snr_db"": 49.11, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9567, ""uav_id"": 2}, {""gcs_snr_db"": 45.65, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 3], ""score"": 0.9466, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 3, ""status"": ""ACTIVE""}"
