mode,frame_rate_hz,processed_frame_ratio_mean,processed_frame_ratio_sd,result_delivery_ratio_mean,result_delivery_ratio_sd,median_latency_mean_ms,median_latency_sd_ms,uav_tx_bitrate_mean_mbps,uav_tx_bitrate_sd_mbps,gcs_rx_bitrate_mean_mbps,gcs_rx_bitrate_sd_mbps
edge,1,1.0,0.0,0.9500000000000001,0.08660254037844388,252.97911961873373,90.64316952485294,0.21288715555555557,0.0734705012182995,0.1522071111111111,0.005419806942577838
edge,2,1.0,0.0,1.0,0.0,215.52658081054688,4.144938332428539,0.18324808888888888,0.011621312541922146,0.1611117333333333,0.007170178003679164
ground,1,0.6166666666666667,0.07264831572567788,0.6166666666666667,0.07264831572567788,523.6077308654785,9.196360390531975,0.3105935111111111,0.026718728743655416,0.24637635555555557,0.009552471532501902
ground,2,0.05277777777777778,0.009622504486493764,0.05277777777777778,0.009622504486493764,569.8100725809733,7.704706605757042,0.42955164444444444,0.019041564344855155,0.3400748,0.00644094795921634
