mode,frame_rate_hz,run_count,processed_frame_ratio_mean,processed_frame_ratio_sd,ground_result_delivery_ratio_mean,ground_result_delivery_ratio_sd,median_pipeline_latency_ms_mean,median_pipeline_latency_ms_sd,p95_pipeline_latency_ms_mean,p95_pipeline_latency_ms_sd,mean_inference_ms_mean,mean_inference_ms_sd,mean_combined_cpu_percent_mean,mean_combined_cpu_percent_sd,uav_tx_bitrate_mbps_mean,uav_tx_bitrate_mbps_sd,gcs_rx_bitrate_mbps_mean,gcs_rx_bitrate_mbps_sd,mean_jpeg_size_bytes_mean,mean_jpeg_size_bytes_sd
edge,1,3,1.0,0.0,0.9500000000000001,0.08660254037844388,252.97911961873373,90.64316952485294,1159.482264518737,1022.0366394195252,60.03513071272108,3.5198552061609707,62.63805555555555,3.1890163248830112,0.21288715555555557,0.0734705012182995,0.1522071111111111,0.005419806942577838,,
edge,2,3,1.0,0.0,1.0,0.0,215.52658081054688,4.144938332428539,1432.4135820070896,882.2618806494387,56.03969362046984,0.8771657906066056,115.93738888888889,1.9019586128028152,0.18324808888888888,0.011621312541922146,0.1611117333333333,0.007170178003679164,,
ground,1,3,0.6166666666666667,0.07264831572567788,0.6166666666666667,0.07264831572567788,523.6077308654785,9.196360390531975,570.2893177668253,11.868441525740717,76.56292805814336,8.033761221468179,39.13861111111111,3.547800603242857,0.3105935111111111,0.026718728743655416,0.24637635555555557,0.009552471532501902,19902.988888888893,36.86337512933264
ground,2,3,0.05277777777777778,0.009622504486493764,0.05277777777777778,0.009622504486493764,569.8100725809733,7.704706605757042,1156.1821222305296,54.786734585611796,186.06667064485097,24.429849729051135,13.416666666666666,1.2604011707036413,0.42955164444444444,0.019041564344855155,0.3400748,0.00644094795921634,19920.11388888889,1.0206660860738235
