Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:30 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:30 PM  1002     75454    3.00    0.00    0.00    0.00    3.00    10   1996.00      0.00 1872036  175088   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:31 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:31 PM  1002     75454    2.00    1.00    0.00    0.00    3.00    12    676.00      0.00 1866468  170076   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:32 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:32 PM  1002     75454    2.00    2.00    0.00    0.00    4.00    10   1995.00      0.00 1866468  170076   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:33 PM  1002     75308    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9195656  820204   2.53  python3
07:17:33 PM  1002     75454    2.00    1.00    0.00    0.00    3.00     4   1995.00      0.00 1866468  170076   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:34 PM  1002     75308   62.00    5.00    0.00    0.00   67.00    14  15435.00      0.00 9198356  825708   2.54  python3
07:17:34 PM  1002     75454    3.00    1.00    0.00    0.00    4.00     6   1995.00      0.00 1866468  170076   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:35 PM  1002     75308   52.00    0.00    0.00    0.00   52.00    14  18429.00      0.00 9201056  828800   2.55  python3
07:17:35 PM  1002     75454    3.00    2.00    0.00    0.00    5.00     6   3315.00      0.00 1872036  175092   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:36 PM  1002     75308   51.00    2.00    0.00    0.00   53.00    14  17246.00      0.00 9198356  826196   2.54  python3
07:17:36 PM  1002     75454    2.00    2.00    0.00    0.00    4.00     4    676.00      0.00 1866468  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:37 PM  1002     75308   42.00    0.00    0.00    0.00   42.00    14  18429.00      0.00 9201056  828496   2.55  python3
07:17:37 PM  1002     75454    4.00    1.00    0.00    0.00    5.00     6   3314.00      0.00 1872036  175092   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:38 PM  1002     75308   54.00    5.00    0.00    0.00   59.00    14  13708.00      0.00 9198356  825996   2.54  python3
07:17:38 PM  1002     75454    2.00    1.00    0.00    0.00    3.00     6   1995.00      0.00 1872036  175092   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:39 PM  1002     75308   42.00    2.00    0.00    0.00   44.00    14  15401.00      0.00 9201056  828488   2.55  python3
07:17:39 PM  1002     75454    3.00    2.00    0.00    0.00    5.00     2   1996.00      0.00 1872036  175096   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:40 PM  1002     75308   50.00    0.00    0.00    0.00   50.00    10  17754.00      0.00 9198356  825916   2.54  python3
07:17:40 PM  1002     75454    2.00    1.00    0.00    0.00    3.00    12    676.00      0.00 1866468  170084   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:41 PM  1002     75308   50.00    3.00    0.00    0.00   53.00    10  18429.00      0.00 9201056  829008   2.55  python3
07:17:41 PM  1002     75454    4.00    1.00    0.00    0.00    5.00     2   1995.00      0.00 1866468  170084   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:42 PM  1002     75308   37.00    3.00    0.00    0.00   40.00    10  17755.00      0.00 9198356  826440   2.54  python3
07:17:42 PM  1002     75454    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 1866468  170084   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:43 PM  1002     75308   48.00    3.00    0.00    0.00   51.00    10  14382.00      0.00 9201056  829072   2.55  python3
07:17:43 PM  1002     75454    3.00    2.00    0.00    0.00    5.00    14   1996.00      0.00 1866468  170088   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:44 PM  1002     75308   47.00    3.00    0.00    0.00   50.00    10  17754.00      0.00 9198356  825708   2.54  python3
07:17:44 PM  1002     75454    3.00    1.00    0.00    0.00    4.00    12   1995.00      0.00 1866468  170088   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:45 PM  1002     75308   39.00    2.00    0.00    0.00   41.00    10  15401.00      0.00 9201056  828464   2.55  python3
07:17:45 PM  1002     75454    3.00    1.00    0.00    0.00    4.00    14   1995.00      0.00 1866468  170088   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:46 PM  1002     75308   36.00    2.00    0.00    0.00   38.00    10  14599.00      0.00 9198356  825848   2.54  python3
07:17:46 PM  1002     75454    5.00    1.00    0.00    0.00    6.00     2   3314.00      0.00 1872036  175100   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:47 PM  1002     75308   44.00    2.00    0.00    0.00   46.00    14  14381.00      0.00 9213296  840720   2.59  python3
07:17:47 PM  1002     75454    4.00    0.00    0.00    0.00    4.00     2    676.00      0.00 1866468  170088   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:48 PM  1002     75308   31.00    8.00    0.00    0.00   39.00    14  14694.00      0.00 9198356  825788   2.54  python3
07:17:48 PM  1002     75454    3.00    2.00    0.00    1.00    5.00     4   1995.00      0.00 1866468  170088   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:49 PM  1002     75308   48.00    3.00    0.00    0.00   51.00    14  15401.00      0.00 9208196  835684   2.57  python3
